t0,t1,c1,c2,sum
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,MAIN/dragons-den,,10
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,MAIN/general,,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/armored-core-spoiler-garage,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,dragons-den/Jenshin-Den,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,3
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,dragons-den/evolve-idol,,4
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,archived stream spoiler chats/armored-core-spoiler-garage,3
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,dragons-den/evolve-idol,3
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,4
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,MAIN/dragons-den,20
2023-09-04 15:00:00+00:00,2023-09-04 16:00:00+00:00,,,157
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/armored-core-spoiler-garage,1
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/dragons-den,,14
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-09-04 16:00:00+00:00,2023-09-04 17:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/armored-core-spoiler-garage,1
