t0,t1,c1,c2,sum
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/dragons-den,,7
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,MAIN/general,MAIN/dragons-den,2
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,,MAIN/general,1
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,,MAIN/dragons-den,49
2022-12-08 20:00:00+00:00,2022-12-08 21:00:00+00:00,,,101
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,Important/stream-announcements,,1
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/cringe-cafe,,2
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/dragons-den,,32
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,52
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/general,,1
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,,MAIN/general,2
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,,MAIN/dragons-den,28
2022-12-08 21:00:00+00:00,2022-12-08 22:00:00+00:00,,,78
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,MAIN/dragons-den,,36
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,MAIN/general,,4
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,,MAIN/dragons-den,16
2022-12-08 22:00:00+00:00,2022-12-08 23:00:00+00:00,,,99
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,MAIN/dragons-den,,18
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,45
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,Important/stream-announcements,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/general,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/dragons-den,39
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,,97
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,Important/stream-announcements,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/dragons-den,,20
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,64
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/general,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,,MAIN/dragons-den,48
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,,,67
