t0,t1,c1,c2,sum
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,MAIN/cringe-cafe,,2
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,MAIN/dragons-den,,10
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,2
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,MAIN/general,1
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,MAIN/dragons-den,35
2023-06-08 16:00:00+00:00,2023-06-08 17:00:00+00:00,,,237
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,MAIN/dragons-den,,22
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,30
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,MAIN/dragons-den,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,,Important/stream-announcements,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-08 17:00:00+00:00,2023-06-08 18:00:00+00:00,,MAIN/share-stuff-you-made,1
