t0,t1,c1,c2,sum
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,MAIN/dragons-den,,12
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,MAIN/general,,1
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,11
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,Important/stream-announcements,1
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,MAIN/general,2
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,dragons-den/evolve-idol,3
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,MAIN/dragons-den,39
2023-10-22 16:00:00+00:00,2023-10-22 17:00:00+00:00,,,108
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,Important/stream-announcements,,1
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,MAIN/dragons-den,,19
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,MAIN/general,MAIN/general,1
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,MAIN/general,,2
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,MAIN/mental-health,1
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,MAIN/general,2
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,MAIN/dragons-den,37
2023-10-22 17:00:00+00:00,2023-10-22 18:00:00+00:00,,,78
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,MAIN/dragons-den,,39
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,MAIN/general,,1
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,MAIN/general,MAIN/dragons-den,2
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,MAIN/mental-health,,1
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,,dragons-den/evolve-idol,2
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,,MAIN/dragons-den,14
2023-10-22 18:00:00+00:00,2023-10-22 19:00:00+00:00,,,88
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,MAIN/dragons-den,,28
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,MAIN/cringe-cafe,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,dragons-den/evolve-idol,2
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,MAIN/dragons-den,18
2023-10-22 19:00:00+00:00,2023-10-22 20:00:00+00:00,,,112
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,MAIN/dragons-den,,23
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,dragons-den/evolve-idol,,4
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,,MAIN/cringe-cafe,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,,MAIN/dragons-den,20
2023-10-22 20:00:00+00:00,2023-10-22 21:00:00+00:00,,,117
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,MAIN/dragons-den,,18
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,MAIN/cringe-cafe,1
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,MAIN/mental-health,1
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,dragons-den/evolve-idol,2
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,MAIN/general,3
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,MAIN/dragons-den,16
2023-10-22 21:00:00+00:00,2023-10-22 22:00:00+00:00,,,119
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/dragons-den,,22
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/general,,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/general,MAIN/general,2
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,MAIN/mental-health,,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,dragons-den/Jenshin-Den,,7
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,,MAIN/mental-health,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,,MAIN/general,2
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,,MAIN/dragons-den,16
2023-10-22 22:00:00+00:00,2023-10-22 23:00:00+00:00,,,125
2023-10-22 23:00:00+00:00,2023-10-23 00:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
