t0,t1,c1,c2,sum
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,MAIN/dragons-den,,5
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,10
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,2
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/botwtotk-shrine-spoiler,3
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,Important/stream-announcements,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,MAIN/general,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,MAIN/dragons-den,31
2023-05-17 15:00:00+00:00,2023-05-17 16:00:00+00:00,,,110
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,Important/stream-announcements,,1
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,MAIN/cringe-cafe,,2
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,3
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,MAIN/dragons-den,,20
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,MAIN/general,,1
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,4
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,,MAIN/mental-health,1
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,5
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,,dragons-den/Jenshin-Den,9
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,,MAIN/dragons-den,22
2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,,,86
2023-05-17 17:00:00+00:00,2023-05-17 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2023-05-17 17:00:00+00:00,2023-05-17 18:00:00+00:00,MAIN/dragons-den,,23
2023-05-17 17:00:00+00:00,2023-05-17 18:00:00+00:00,MAIN/mental-health,,1
