t0,t1,c1,c2,sum
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,3
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,MAIN/dragons-den,,4
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,9
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,1
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,2
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,5
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,MAIN/general,2
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,MAIN/cringe-cafe,4
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,13
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,MAIN/dragons-den,40
2023-03-25 16:00:00+00:00,2023-03-25 17:00:00+00:00,,,138
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/cringe-cafe,,4
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,1
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/dragons-den,,26
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,MAIN/general,,2
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,4
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,5
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,12
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,,MAIN/general,3
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,6
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,,MAIN/dragons-den,24
2023-03-25 17:00:00+00:00,2023-03-25 18:00:00+00:00,,,110
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,MAIN/dragons-den,,19
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,MAIN/general,MAIN/general,1
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,MAIN/general,,4
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,3
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,5
2023-03-25 18:00:00+00:00,2023-03-25 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,11
