t0,t1,c1,c2,sum
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,MAIN/dragons-den,,17
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,43
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,2
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,dragons-den/evolve-idol,,1
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,Important/stream-announcements,1
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,MAIN/general,2
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,4
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,MAIN/dragons-den,52
2023-07-28 16:00:00+00:00,2023-07-28 17:00:00+00:00,,,161
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,Important/stream-announcements,,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/dragons-den,,36
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,59
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/general,dragons-den/evolve-idol,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,MAIN/general,,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,2
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,4
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,4
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,MAIN/dragons-den,40
2023-07-28 17:00:00+00:00,2023-07-28 18:00:00+00:00,,,134
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,MAIN/dragons-den,,39
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,60
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,3
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,dragons-den/evolve-idol,,2
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,,dragons-den/evolve-idol,1
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,,MAIN/cringe-cafe,2
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,,MAIN/dragons-den,17
2023-07-28 18:00:00+00:00,2023-07-28 19:00:00+00:00,,,161
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,MAIN/cringe-cafe,,2
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,MAIN/dragons-den,,32
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,dragons-den/evolve-idol,,2
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,,MAIN/general,1
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,,dragons-den/evolve-idol,2
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,,MAIN/dragons-den,19
2023-07-28 19:00:00+00:00,2023-07-28 20:00:00+00:00,,,182
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,MAIN/dragons-den,,22
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,44
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,MAIN/general,,1
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,1
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,dragons-den/evolve-idol,,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,MAIN/general,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,dragons-den/evolve-idol,4
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,MAIN/dragons-den,39
2023-07-28 20:00:00+00:00,2023-07-28 21:00:00+00:00,,,169
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,MAIN/dragons-den,,20
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,66
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,MAIN/general,,2
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,1
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,dragons-den/evolve-idol,,5
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,,dragons-den/evolve-idol,1
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,,MAIN/general,2
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,,MAIN/dragons-den,40
2023-07-28 21:00:00+00:00,2023-07-28 22:00:00+00:00,,,153
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,MAIN/dragons-den,,27
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,80
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,MAIN/general,,2
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,dragons-den/evolve-idol,,1
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,MAIN/general,2
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,dragons-den/evolve-idol,2
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,3
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,MAIN/dragons-den,35
2023-07-28 22:00:00+00:00,2023-07-28 23:00:00+00:00,,,144
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,6
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/dragons-den,,67
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,MAIN/general,,2
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,3
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,dragons-den/evolve-idol,,2
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,MAIN/general,2
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,2
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,dragons-den/evolve-idol,4
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,MAIN/dragons-den,22
2023-07-28 23:00:00+00:00,2023-07-29 00:00:00+00:00,,,143
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/dragons-den,dragons-den/roguelike-den,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,2
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/dragons-den,,38
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/general,,2
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,6
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,dragons-den/evolve-idol,,2
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,MAIN/general,1
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,4
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,MAIN/dragons-den,12
2023-07-29 00:00:00+00:00,2023-07-29 01:00:00+00:00,,,197
