t0,t1,c1,c2,sum
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/dragons-den,,8
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/general,MAIN/general,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,Stream Stuff/jadseya-awards-2023,,2
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,archived stream spoiler chats/va11-hall-of-spoilers,MAIN/dragons-den,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,archived stream spoiler chats/va11-hall-of-spoilers,,3
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,11
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,dragons-den/evolve-idol,,2
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,MAIN/general,2
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,archived stream spoiler chats/va11-hall-of-spoilers,2
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,dragons-den/evolve-idol,2
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,MAIN/cringe-cafe,3
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,Stream Stuff/jadseya-awards-2023,4
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,MAIN/dragons-den,37
2023-12-01 16:00:00+00:00,2023-12-01 17:00:00+00:00,,,169
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/cringe-cafe,,4
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,8
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/dragons-den,,23
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,30
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/general,,3
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,3
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,Stream Stuff/jadseya-awards-2023,,3
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,archived stream spoiler chats/va11-hall-of-spoilers,MAIN/dragons-den,1
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,archived stream spoiler chats/va11-hall-of-spoilers,,1
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,13
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,dragons-den/evolve-idol,Stream Stuff/jadseya-awards-2023,2
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,dragons-den/evolve-idol,,2
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,MAIN/cringe-cafe,2
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,MAIN/general,3
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,Stream Stuff/jadseya-awards-2023,14
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,MAIN/dragons-den,36
2023-12-01 17:00:00+00:00,2023-12-01 18:00:00+00:00,,,130
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/cringe-cafe,,2
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,2
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,3
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/dragons-den,,34
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/general,MAIN/general,2
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/general,,2
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/share-stuff-you-made,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,dragons-den/Jenshin-Den,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,5
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,10
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,,10
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,12
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,dragons-den/evolve-idol,,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,MAIN/general,4
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,Stream Stuff/jadseya-awards-2023,6
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,MAIN/dragons-den,26
2023-12-01 18:00:00+00:00,2023-12-01 19:00:00+00:00,,,128
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/va11-hall-of-spoilers,1
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/dragons-den,,33
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/general,MAIN/general,1
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/general,,6
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/share-stuff-you-made,Stream Stuff/jadseya-awards-2023,1
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,2
2023-12-01 19:00:00+00:00,2023-12-01 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,4
