t0,t1,c1,c2,sum
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,4
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,MAIN/dragons-den,,7
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,15
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,,MAIN/dragons-den,19
2022-04-18 10:00:00+00:00,2022-04-18 11:00:00+00:00,,,128
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,15
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,MAIN/dragons-den,,16
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,,MAIN/mental-health,2
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,,MAIN/cringe-cafe,3
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,,MAIN/dragons-den,11
2022-04-18 11:00:00+00:00,2022-04-18 12:00:00+00:00,,,119
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/cringe-cafe,,4
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,4
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,12
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/dragons-den,,12
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/general,,1
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,MAIN/mental-health,MAIN/mental-health,2
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,,MAIN/general,1
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,,MAIN/cringe-cafe,6
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,,MAIN/dragons-den,6
2022-04-18 12:00:00+00:00,2022-04-18 13:00:00+00:00,,,121
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,5
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/cringe-cafe,,5
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/dragons-den,,7
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/general,,1
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/mental-health,MAIN/dragons-den,1
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/mental-health,,1
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,,MAIN/cringe-cafe,5
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,,MAIN/dragons-den,20
2022-04-18 13:00:00+00:00,2022-04-18 14:00:00+00:00,,,111
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/cringe-cafe,,5
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/dragons-den,,17
2022-04-18 14:00:00+00:00,2022-04-18 15:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
