t0,t1,c1,c2,sum
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,MAIN/dragons-den,,5
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,MAIN/general,,2
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,1
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,,MAIN/general,1
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,,MAIN/cringe-cafe,2
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,13
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,,MAIN/dragons-den,36
2022-06-20 15:00:00+00:00,2022-06-20 16:00:00+00:00,,,220
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/cringe-cafe,archived stream spoiler chats/zero-escape-spoiler-chan,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/cringe-cafe,,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,5
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/dragons-den,,21
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,2
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,11
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,Important/stream-announcements,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,MAIN/cringe-cafe,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,MAIN/general,1
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,MAIN/dragons-den,49
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,60
2022-06-20 16:00:00+00:00,2022-06-20 17:00:00+00:00,,,115
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,Important/stream-announcements,,1
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,6
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,MAIN/dragons-den,,40
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,MAIN/general,MAIN/general,1
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,6
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,26
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,45
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,,MAIN/general,2
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,,MAIN/dragons-den,20
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,21
2022-06-20 17:00:00+00:00,2022-06-20 18:00:00+00:00,,,95
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,6
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/dragons-den,,17
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,41
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/general,MAIN/general,1
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/general,,2
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,2
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,19
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,51
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,,MAIN/dragons-den,27
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,33
2022-06-20 18:00:00+00:00,2022-06-20 19:00:00+00:00,,,103
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,5
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,MAIN/dragons-den,,27
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,MAIN/general,MAIN/general,1
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,8
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,34
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,48
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,,MAIN/general,1
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,13
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,,MAIN/dragons-den,18
2022-06-20 19:00:00+00:00,2022-06-20 20:00:00+00:00,,,110
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,2
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,MAIN/dragons-den,,26
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,MAIN/general,MAIN/general,3
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/general,1
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,3
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,24
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,38
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,,MAIN/general,2
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,,MAIN/dragons-den,12
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,13
2022-06-20 20:00:00+00:00,2022-06-20 21:00:00+00:00,,,143
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,9
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,MAIN/dragons-den,,39
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,MAIN/general,MAIN/dragons-den,3
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,MAIN/general,,5
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,2
2022-06-20 21:00:00+00:00,2022-06-20 22:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,2
