t0,t1,c1,c2,sum
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/cringe-cafe,MAIN/general,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/cringe-cafe,,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/dragons-den,,6
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/general,MAIN/general,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,MAIN/general,,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,,Important/stream-announcements,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,,MAIN/general,1
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,,MAIN/cringe-cafe,2
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,,MAIN/dragons-den,45
2022-05-11 15:00:00+00:00,2022-05-11 16:00:00+00:00,,,120
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,Important/stream-announcements,,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/cringe-cafe,,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/dragons-den,,28
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,MAIN/general,,2
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,,MAIN/general,1
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,,MAIN/cringe-cafe,2
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,,MAIN/dragons-den,24
2022-05-11 16:00:00+00:00,2022-05-11 17:00:00+00:00,,,99
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/dragons-den,,29
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/general,,1
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,,MAIN/general,1
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,,MAIN/dragons-den,26
2022-05-11 17:00:00+00:00,2022-05-11 18:00:00+00:00,,,103
