t0,t1,c1,c2,sum
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,MAIN/dragons-den,,9
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,10
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,dragons-den/evolve-idol,,1
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,,dragons-den/evolve-idol,7
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,,MAIN/dragons-den,26
2023-06-09 16:00:00+00:00,2023-06-09 17:00:00+00:00,,,150
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,MAIN/dragons-den,,12
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/evolve-idol,,4
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,6
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,MAIN/general,4
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,dragons-den/evolve-idol,8
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,MAIN/dragons-den,43
2023-06-09 17:00:00+00:00,2023-06-09 18:00:00+00:00,,,103
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,3
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/dragons-den,,29
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,MAIN/general,,5
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,2
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,dragons-den/evolve-idol,,9
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,,MAIN/cringe-cafe,2
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,,dragons-den/evolve-idol,2
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,,MAIN/dragons-den,18
2023-06-09 18:00:00+00:00,2023-06-09 19:00:00+00:00,,,97
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,MAIN/cringe-cafe,,2
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,MAIN/dragons-den,,25
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,MAIN/general,,1
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,dragons-den/evolve-idol,,1
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,6
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,dragons-den/evolve-idol,3
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,MAIN/dragons-den,23
2023-06-09 19:00:00+00:00,2023-06-09 20:00:00+00:00,,,115
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,2
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,MAIN/dragons-den,,22
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,1
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,dragons-den/evolve-idol,,5
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,MAIN/general,1
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,MAIN/mental-health,1
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,dragons-den/evolve-idol,5
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,MAIN/dragons-den,24
2023-06-09 20:00:00+00:00,2023-06-09 21:00:00+00:00,,,112
2023-06-09 21:00:00+00:00,2023-06-09 22:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-09 21:00:00+00:00,2023-06-09 22:00:00+00:00,MAIN/dragons-den,,23
2023-06-09 21:00:00+00:00,2023-06-09 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-06-09 21:00:00+00:00,2023-06-09 22:00:00+00:00,MAIN/general,,3
