t0,t1,c1,c2,sum
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,3
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,MAIN/dragons-den,,13
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,MAIN/general,MAIN/general,1
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,1
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,5
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,Important/stream-announcements,1
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,MAIN/cringe-cafe,2
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,MAIN/general,2
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,MAIN/dragons-den,40
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,74
2022-08-03 15:00:00+00:00,2022-08-03 16:00:00+00:00,,,184
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,Important/stream-announcements,,1
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/cringe-cafe,,2
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,6
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/dragons-den,,19
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,39
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/general,,1
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,MAIN/general,MAIN/general,2
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,5
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,12
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,65
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,,MAIN/cringe-cafe,1
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,,MAIN/general,2
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,,MAIN/dragons-den,41
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,50
2022-08-03 16:00:00+00:00,2022-08-03 17:00:00+00:00,,,104
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,10
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/dragons-den,,31
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,44
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/general,MAIN/general,2
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,MAIN/general,,3
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,5
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,31
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,85
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,,MAIN/general,6
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,21
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,,MAIN/dragons-den,26
2022-08-03 17:00:00+00:00,2022-08-03 18:00:00+00:00,,,85
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/cringe-cafe,,1
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,5
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/dragons-den,,32
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/general,MAIN/general,3
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,MAIN/general,,3
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,4
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,45
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,67
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,,MAIN/general,1
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,,MAIN/dragons-den,11
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,15
2022-08-03 18:00:00+00:00,2022-08-03 19:00:00+00:00,,,124
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/cringe-cafe,,1
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,3
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/dragons-den,,16
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/general,,1
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,MAIN/general,MAIN/general,2
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,5
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,22
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,60
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,,MAIN/general,3
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,,MAIN/dragons-den,17
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,25
2022-08-03 19:00:00+00:00,2022-08-03 20:00:00+00:00,,,160
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,3
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/dragons-den,,33
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/general,MAIN/general,2
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,MAIN/general,,3
2022-08-03 20:00:00+00:00,2022-08-03 21:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,2
