author,date,channel
_naya_,2023-12-07 21:31:42.259000+00:00,dragons-den/baldurs-gate-3-goty-den
hypotheticalwalrus,2023-12-07 21:32:09.101000+00:00,dragons-den/baldurs-gate-3-goty-den
hypotheticalwalrus,2023-12-07 21:32:17.397000+00:00,dragons-den/baldurs-gate-3-goty-den
_naya_,2023-12-07 21:33:37.910000+00:00,dragons-den/baldurs-gate-3-goty-den
_naya_,2023-12-07 21:33:52.692000+00:00,dragons-den/baldurs-gate-3-goty-den
hypotheticalwalrus,2023-12-07 21:35:11.463000+00:00,dragons-den/baldurs-gate-3-goty-den
xtongx,2023-12-07 22:46:06.818000+00:00,dragons-den/baldurs-gate-3-goty-den
_naya_,2023-12-07 22:46:17.266000+00:00,dragons-den/baldurs-gate-3-goty-den
xtongx,2023-12-07 22:46:35.183000+00:00,dragons-den/baldurs-gate-3-goty-den
xtongx,2023-12-07 22:46:49.926000+00:00,dragons-den/baldurs-gate-3-goty-den
_naya_,2023-12-07 22:46:52.085000+00:00,dragons-den/baldurs-gate-3-goty-den
xtongx,2023-12-07 22:47:34.670000+00:00,dragons-den/baldurs-gate-3-goty-den
strix2031,2023-12-08 04:02:15.194000+00:00,dragons-den/baldurs-gate-3-goty-den
krakonis,2023-12-08 05:12:41.195000+00:00,dragons-den/baldurs-gate-3-goty-den
notbericlever,2023-12-08 05:13:08.796000+00:00,dragons-den/baldurs-gate-3-goty-den
notbericlever,2023-12-08 05:13:12.239000+00:00,dragons-den/baldurs-gate-3-goty-den
krakonis,2023-12-08 05:16:08.057000+00:00,dragons-den/baldurs-gate-3-goty-den
notbericlever,2023-12-08 05:18:30.682000+00:00,dragons-den/baldurs-gate-3-goty-den
krakonis,2023-12-08 06:02:30.639000+00:00,dragons-den/baldurs-gate-3-goty-den
filefighter,2023-12-07 21:03:48.170000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:08:17.078000+00:00,dragons-den/evolve-idol
filefighter,2023-12-07 21:09:01.494000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:09:35.260000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:09:43.988000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:10:18.580000+00:00,dragons-den/evolve-idol
filefighter,2023-12-07 21:10:22.461000+00:00,dragons-den/evolve-idol
filefighter,2023-12-07 21:10:34.361000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:10:39.126000+00:00,dragons-den/evolve-idol
absolutepseudoprime,2023-12-07 21:10:51.076000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:10:58.758000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-07 21:11:04.490000+00:00,dragons-den/evolve-idol
