author,date,channel
coffee_teeth,2023-12-29 19:03:29.870000+00:00,dragons-den/baldurs-gate-3-goty-den
coffee_teeth,2023-12-29 19:03:43.989000+00:00,dragons-den/baldurs-gate-3-goty-den
coffee_teeth,2023-12-29 19:04:34.340000+00:00,dragons-den/baldurs-gate-3-goty-den
rainrin.,2023-12-29 19:21:33.508000+00:00,dragons-den/baldurs-gate-3-goty-den
rainrin.,2023-12-29 19:21:47.790000+00:00,dragons-den/baldurs-gate-3-goty-den
oath_othelio,2023-12-29 19:38:56.639000+00:00,dragons-den/baldurs-gate-3-goty-den
rainrin.,2023-12-29 19:39:48.052000+00:00,dragons-den/baldurs-gate-3-goty-den
oath_othelio,2023-12-29 19:40:35.346000+00:00,dragons-den/baldurs-gate-3-goty-den
oath_othelio,2023-12-29 19:42:57.767000+00:00,dragons-den/baldurs-gate-3-goty-den
hypotheticalwalrus,2023-12-30 00:07:23.237000+00:00,dragons-den/baldurs-gate-3-goty-den
snek_pliskin,2023-12-30 00:09:27.979000+00:00,dragons-den/baldurs-gate-3-goty-den
hydus,2023-12-30 00:10:49.126000+00:00,dragons-den/baldurs-gate-3-goty-den
oath_othelio,2023-12-30 01:47:23.003000+00:00,dragons-den/baldurs-gate-3-goty-den
oath_othelio,2023-12-30 01:57:27.375000+00:00,dragons-den/baldurs-gate-3-goty-den
amphitrite.skye,2023-12-29 19:00:16.463000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:01:46.755000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:02:01.364000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:09:07.539000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 19:10:33.280000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:10:36.628000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:10:54.809000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:11:18.267000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:13:40.787000+00:00,dragons-den/evolve-idol
panaxyn,2023-12-29 19:16:35.155000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:16:48.932000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:17:09.326000+00:00,dragons-den/evolve-idol
panaxyn,2023-12-29 19:17:15.591000+00:00,dragons-den/evolve-idol
panaxyn,2023-12-29 19:17:16.223000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:26:22.984000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:26:27.329000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:26:55.843000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 19:33:26.037000+00:00,dragons-den/evolve-idol
panaxyn,2023-12-29 19:58:12.279000+00:00,dragons-den/evolve-idol
panaxyn,2023-12-29 19:58:19.161000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:16:10.397000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:16:11.173000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:16:13.341000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:16:46.838000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-12-29 20:19:40.574000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:20:23.623000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:20:41.048000+00:00,dragons-den/evolve-idol
Deleted User,2023-12-29 20:22:28.097000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:23:45.036000+00:00,dragons-den/evolve-idol
cerisepink,2023-12-29 20:31:25.251000+00:00,dragons-den/evolve-idol
Deleted User,2023-12-29 20:31:31.728000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:31:37.404000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:31:56.795000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:32:31.316000+00:00,dragons-den/evolve-idol
cerisepink,2023-12-29 20:33:16.961000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:33:31.128000+00:00,dragons-den/evolve-idol
mezzeric,2023-12-29 20:33:48.924000+00:00,dragons-den/evolve-idol
