author,date,channel
amphitrite.skye,2023-10-24 15:39:12.556000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:39:31.642000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:40:34.342000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:41:09.134000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:41:13.174000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:41:19.273000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:41:22.487000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:41:26.292000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:41:30.160000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:41:47.693000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:41:48.563000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:41:59.208000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:42:01.074000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:42:10.406000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:42:17.083000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:42:35.299000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:42:54.211000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:43:04.418000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:43:13.838000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:43:15.567000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:43:23.468000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:43:36.473000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:43:50.417000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:06.944000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:11.542000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:23.883000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:30.849000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:36.328000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:44:48.067000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-24 15:44:49.017000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:45:00.376000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-24 15:45:05.137000+00:00,dragons-den/evolve-idol
