author,date,channel
Deleted User,2023-10-30 15:22:40.857000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:24:24.666000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:24:38.497000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:24:40.086000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:26:27.293000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:27:00.031000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:29:27.239000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:29:42.879000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:29:58.271000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:30:24.065000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:30:34.227000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:30:36.062000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-30 15:31:45.878000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:32:01.846000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:32:20.857000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:32:53.729000+00:00,dragons-den/evolve-idol
geno_0,2023-10-30 15:35:13.623000+00:00,dragons-den/evolve-idol
geno_0,2023-10-30 15:35:43.965000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:36:48.372000+00:00,dragons-den/evolve-idol
geno_0,2023-10-30 15:37:20.300000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:38:27.809000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:38:39.019000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:48:31.396000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:48:40.767000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:48:49.256000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:49:21.150000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:49:36.751000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:49:48.130000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:50:23.264000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:50:28.034000+00:00,dragons-den/evolve-idol
geno_0,2023-10-30 15:50:55.369000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:51:16.809000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:51:37.277000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:54:19.659000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:54:31.564000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-30 15:56:08.495000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-30 15:56:22.913000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:56:31.536000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:56:43.249000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-30 15:56:51.724000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:58:28.037000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 15:58:57.386000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 15:59:21.197000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 16:00:48.114000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:01:15.624000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:00.638000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:18.623000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-30 16:05:23.177000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:25.716000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:34.819000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-30 16:05:35.810000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:43.335000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:54.305000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:05:58.670000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:06:05.136000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-30 16:06:41.210000+00:00,dragons-den/evolve-idol
