author,date,channel
the_first_lilly,2023-10-26 15:27:26.514000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:27:29.036000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:27:46.625000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:27:48.406000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:27:53.882000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:27:55.692000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:28:15.176000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:28:59.933000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:29:32.711000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:29:42.703000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:29:53.396000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:30:16.066000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:30:31.344000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:30:50.534000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:31:07.226000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:31:35.852000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:32:06.820000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:32:19.084000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:32:26.108000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:32:36.991000+00:00,dragons-den/evolve-idol
filefighter,2023-10-26 15:32:43.583000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:32:51.055000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:32:54.900000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:33:04.575000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:33:19.067000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:33:19.208000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:33:43.314000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:33:49.114000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:34:02.521000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:34:15.186000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:34:20.927000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:34:24.039000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:34:41.127000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:35:03.676000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:35:09.286000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:35:16.428000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:35:18.102000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:35:20.736000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:36:03.824000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:36:30.398000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:36:52.560000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:36:58.091000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:37:09.275000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:37:19.691000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:37:32.874000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:37:34.475000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:37:50.986000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:37:53.822000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:38:26.728000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:38:40.489000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:38:45.701000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:39:02.766000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:39:10.076000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:39:13.705000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:39:22.276000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:39:31.260000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:39:35.156000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:39:36.335000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:39:37.305000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:39:39.502000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:39:45.388000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:39:48.223000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:39:49.385000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:40:17.533000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:40:30.061000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:40:46.513000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:40:47.780000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:41:16.523000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:41:28.935000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:41:29.815000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:41:35.105000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:41:35.674000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:41:40.402000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:41:54.824000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:42:03.958000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:42:04.500000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:42:07.533000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:42:30.926000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:42:45.428000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:43:08.756000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:43:23.084000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:43:58.282000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:43:59.465000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:44:08.231000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:44:41.933000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:45:06.458000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:45:10.480000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:45:21.384000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:45:52.172000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:46:06.017000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:46:13.296000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:46:18.868000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:47:18.704000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:47:30.977000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:47:38.258000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:47:38.783000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:48:01.071000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:48:14.443000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:48:22.987000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:48:38.218000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:48:53.792000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:49:07.424000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:49:50.729000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:50:05.298000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:50:11.081000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:50:21.695000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:50:29.974000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:50:40.148000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:50:41.160000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:50:42.265000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:50:52.225000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:51:08.416000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:51:18.655000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:51:21.164000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:52:02.475000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:52:08.079000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:52:11.034000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:52:15.330000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:52:22.918000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:52:23.870000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:52:37.518000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:52:42.866000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:52:57.704000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:52:58.751000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-26 15:53:29.407000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:53:33.422000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-26 15:53:41.246000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:53:52.667000+00:00,dragons-den/evolve-idol
Deleted User,2023-10-26 15:53:53.002000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:54:02.373000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:54:31.188000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:54:33.001000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:54:39.247000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:55:01.580000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:55:05.573000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:55:14.195000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:55:17.689000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:55:29.777000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:55:35.451000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:55:48.236000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:55:48.640000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:56:05.629000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:56:20.876000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:56:37.854000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:56:59.870000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:57:16.195000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:57:28.106000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:57:34.151000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:57:34.894000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:57:37.842000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:57:39.738000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:58:01.704000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 15:58:17.943000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 15:58:21.984000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 15:58:46.283000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:58:58.418000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 15:59:37.935000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 16:00:09.380000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-26 16:00:23.571000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 16:00:45.538000+00:00,dragons-den/evolve-idol
mezzeric,2023-10-26 16:00:53.575000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-26 16:01:06.508000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-10-26 16:01:13.637000+00:00,dragons-den/evolve-idol
