author,date,channel
matt3zoh,2023-06-20 15:00:01.611000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
_cliffracer,2023-06-20 15:00:18.215000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
baredboke,2023-06-20 15:00:23.622000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:00:37.871000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:00:45.835000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
baredboke,2023-06-20 15:00:59.109000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:00:59.594000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:01:46.047000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
baredboke,2023-06-20 15:01:49.212000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:02:23.247000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
matt3zoh,2023-06-20 15:03:00.036000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
.fluffybee,2023-06-20 16:05:18.246000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
_cliffracer,2023-06-20 16:14:21.226000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
thekingpin_,2023-06-20 16:15:30.723000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
jnv_,2023-06-20 17:51:00.149000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
baredboke,2023-06-20 18:08:10.913000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
jnv_,2023-06-20 18:09:40.578000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
baredboke,2023-06-20 18:10:40.260000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
jnv_,2023-06-20 18:13:01.551000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
jnv_,2023-06-20 18:14:17.912000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
saturnalia___,2023-06-20 15:16:05.031000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:18:00.617000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:21:37.260000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:22:53.660000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:24:48.166000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:25:16.184000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:25:36.541000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:30:42.210000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:31:36.227000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:32:49.026000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:34:07.745000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:36:00.550000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:38:33.842000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:39:44.506000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:39:54.855000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:40:09.227000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:40:43.219000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:41:21.061000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:42:10.636000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:42:28.908000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:42:55.509000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:43:08.084000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:43:34.442000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:44:29.743000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:46:08.922000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:46:35.721000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:46:51.569000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:46:57.390000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 15:47:10.520000+00:00,dragons-den/evolve-idol
nochillada,2023-06-20 15:55:30.518000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:58:27.013000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:58:49.567000+00:00,dragons-den/evolve-idol
saturnalia___,2023-06-20 15:59:11.432000+00:00,dragons-den/evolve-idol
nochillada,2023-06-20 16:02:09.955000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:13:56.021000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-06-20 16:18:49.918000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:19:07.783000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:19:19.463000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:19:23.383000+00:00,dragons-den/evolve-idol
nochillada,2023-06-20 16:20:45.678000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:23:27.829000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:23:47.245000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:24:02.391000+00:00,dragons-den/evolve-idol
nochillada,2023-06-20 16:24:15.806000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:24:22.901000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:24:35.434000+00:00,dragons-den/evolve-idol
nochillada,2023-06-20 16:25:13.421000+00:00,dragons-den/evolve-idol
darkflash,2023-06-20 16:25:30.755000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:37:00.562000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:37:04.314000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:38:05.798000+00:00,dragons-den/evolve-idol
enomagla,2023-06-20 16:38:09.441000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:38:28.983000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:38:39.265000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:38:41.294000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:39:09.383000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:39:59.189000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:40:07.621000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:40:20.826000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:40:51.505000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:40:58.018000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:41:11.294000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:41:22.774000+00:00,dragons-den/evolve-idol
comet_otter,2023-06-20 16:41:34.568000+00:00,dragons-den/evolve-idol
cheeseyx,2023-06-20 16:41:42.250000+00:00,dragons-den/evolve-idol
