author,date,channel
joseph_anderson_,2023-03-01 17:16:19.413000+00:00,Important/stream-announcements
comet_otter,2023-03-01 17:28:08.618000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:30.148000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:32.214000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:36.124000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:28:38.567000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:38.834000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:43.529000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:49.697000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:28:56.595000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:29:04.304000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:29:11.813000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:29:12.900000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:29:22.255000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:29:35.617000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:29:42.784000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:32:22.348000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:35:44.275000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:36:43.878000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:38:38.401000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:38:48.503000+00:00,MAIN/cringe-cafe
eta8,2023-03-01 17:38:52.045000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:46:50.774000+00:00,MAIN/cringe-cafe
comet_otter,2023-03-01 17:48:08.694000+00:00,MAIN/cringe-cafe
tadakichi,2023-03-01 20:00:49.995000+00:00,MAIN/cringe-cafe
tadakichi,2023-03-01 20:01:05.684000+00:00,MAIN/cringe-cafe
Deleted User,2023-03-01 20:02:01.580000+00:00,MAIN/cringe-cafe
tadakichi,2023-03-01 20:02:15.090000+00:00,MAIN/cringe-cafe
Deleted User,2023-03-01 20:02:34.755000+00:00,MAIN/cringe-cafe
beanibee,2023-03-01 20:22:13.154000+00:00,MAIN/cringe-cafe
piecia,2023-03-01 20:56:34.196000+00:00,MAIN/cringe-cafe
piecia,2023-03-01 20:57:03.517000+00:00,MAIN/cringe-cafe
piecia,2023-03-01 20:57:46.027000+00:00,MAIN/cringe-cafe
beanibee,2023-03-01 21:23:42.793000+00:00,MAIN/cringe-cafe
dis_ely1,2023-03-01 16:00:04.930000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-03-01 16:00:10.713000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:00:15.367000+00:00,MAIN/dragons-den
torchrr,2023-03-01 16:00:25.847000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:00:31.819000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:00:32.956000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:00:36.582000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:00:54.931000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-03-01 16:01:00.056000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-03-01 16:01:01.886000+00:00,MAIN/dragons-den
snek_pliskin,2023-03-01 16:01:05.757000+00:00,MAIN/dragons-den
snek_pliskin,2023-03-01 16:01:15.482000+00:00,MAIN/dragons-den
dis_ely1,2023-03-01 16:01:18.257000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:01:20.796000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:01:23.947000+00:00,MAIN/dragons-den
nexter420,2023-03-01 16:01:31.833000+00:00,MAIN/dragons-den
wakyx,2023-03-01 16:01:39.833000+00:00,MAIN/dragons-den
torchrr,2023-03-01 16:01:40.295000+00:00,MAIN/dragons-den
wakyx,2023-03-01 16:01:41.915000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:01:42.379000+00:00,MAIN/dragons-den
torchrr,2023-03-01 16:01:45.974000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:01:56.057000+00:00,MAIN/dragons-den
torchrr,2023-03-01 16:01:57.093000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:02:01.649000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:02:12+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:02:32.340000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:02:38.393000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:02:57.735000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:03:02.809000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:03:35.815000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:03:52.969000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:04:09.914000+00:00,MAIN/dragons-den
dis_ely1,2023-03-01 16:04:14.940000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:04:36.107000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:05:07.547000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:05:16.362000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:05:29.275000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:05:54.042000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:06:51.791000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:06:53.207000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:06:58.025000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:07:03.297000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:07:07.328000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:07:11.348000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:07:12.604000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:07:31.689000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:07:31.792000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:07:40.181000+00:00,MAIN/dragons-den
veser0,2023-03-01 16:07:42.592000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:07:44.738000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:07:49.250000+00:00,MAIN/dragons-den
aerolfos,2023-03-01 16:07:52.323000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:07:57.070000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:08:05.543000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:08:10.805000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:08:12.402000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:08:30.273000+00:00,MAIN/dragons-den
quinners,2023-03-01 16:08:32.466000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:08:36.037000+00:00,MAIN/dragons-den
Deleted User,2023-03-01 16:08:38.159000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:08:44.137000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:08:52.407000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:09:03.744000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:09:05.935000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:09:06.542000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:09:08.414000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:09:10.645000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:09:13.017000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:09:15.406000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:09:26.065000+00:00,MAIN/dragons-den
shvabra,2023-03-01 16:09:40.544000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:09:42.060000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:09:43.690000+00:00,MAIN/dragons-den
shvabra,2023-03-01 16:09:49.159000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:09:49.790000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:09:50.275000+00:00,MAIN/dragons-den
dis_ely1,2023-03-01 16:09:51.644000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:09:54.063000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:10:01.672000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:10:03.184000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:10:07.422000+00:00,MAIN/dragons-den
shvabra,2023-03-01 16:10:08.166000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:10:08.686000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:14.965000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:10:15.740000+00:00,MAIN/dragons-den
hypotheticalwalrus,2023-03-01 16:10:15.843000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:10:22.425000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:10:28.610000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:29.952000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:10:31.207000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:31.806000+00:00,MAIN/dragons-den
umbrene,2023-03-01 16:10:32.794000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:34.493000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:35.837000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:10:36.411000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:38.915000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:10:39.111000+00:00,MAIN/dragons-den
hannahbanana1312,2023-03-01 16:10:39.350000+00:00,MAIN/dragons-den
hibiderry,2023-03-01 16:10:40.444000+00:00,MAIN/dragons-den
shvabra,2023-03-01 16:10:43.911000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-03-01 16:10:49.702000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:10:50.129000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:10:52.319000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:10:59.512000+00:00,MAIN/dragons-den
xephorix512,2023-03-01 16:11:03.418000+00:00,MAIN/dragons-den
anarchozoey,2023-03-01 16:11:04.784000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:11:07.917000+00:00,MAIN/dragons-den
celestinno,2023-03-01 16:11:14.483000+00:00,MAIN/dragons-den
