author,date,channel
joseph_anderson_,2022-04-12 05:42:23.846000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
joseph_anderson_,2022-04-12 05:42:31.060000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 05:46:33.599000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:47:30.550000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:48:24.351000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 05:50:14.887000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
beanibee,2022-04-12 05:51:51.247000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
beanibee,2022-04-12 05:52:21.123000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
Deleted User,2022-04-12 05:52:24.071000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
Deleted User,2022-04-12 05:52:34.392000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
constantineishere,2022-04-12 05:53:31.339000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
alesdvran,2022-04-12 05:55:07.051000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:55:52.498000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 05:56:37.645000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:57:05.384000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:58:25.251000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
angryaboutelves,2022-04-12 05:58:45.392000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
wakyx,2022-04-12 06:01:50.747000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 06:03:40.935000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
alesdvran,2022-04-12 06:03:59.319000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
Deleted User,2022-04-12 06:04:01.764000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 06:04:13.630000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 06:04:21.633000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 06:04:37.509000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
Deleted User,2022-04-12 06:04:45.419000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
Deleted User,2022-04-12 06:04:49.625000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
violinsexual,2022-04-12 06:05:00.931000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
wakyx,2022-04-12 06:05:33.653000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
constantineishere,2022-04-12 06:06:00.101000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
constantineishere,2022-04-12 06:06:09.950000+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree
