author,date,channel
.neoleo,2022-11-09 19:17:58.977000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:18:13.272000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:19:17.319000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
vany227,2022-11-09 19:22:13.996000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:26:10.500000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:26:39.801000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:46:07.839000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:46:27.638000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:47:15.206000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:47:28.328000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:47:47.210000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:48:10.100000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:48:12.849000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:48:59.929000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:49:03.666000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:49:24.089000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:49:55.805000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:50:08.947000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:50:55.536000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:51:19.727000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:52:10.955000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:52:18.126000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 19:53:10.828000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:54:01.194000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:54:29.152000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:55:52.714000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:57:35.261000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 19:58:18.425000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 20:03:44.011000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
.neoleo,2022-11-09 20:11:51.242000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
guppy7,2022-11-09 20:47:22.710000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
guppy7,2022-11-09 20:47:31.440000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
guppy7,2022-11-09 20:47:52.091000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 21:04:04.359000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 21:04:19.065000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
guppy7,2022-11-09 21:04:25.001000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 21:04:25.544000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 21:04:49.134000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
guppy7,2022-11-09 21:04:57.162000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
vany227,2022-11-09 21:22:44.087000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
vany227,2022-11-09 21:22:47.633000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
infinitelau,2022-11-09 21:23:26.402000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
infinitelau,2022-11-09 21:24:02.151000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
infinitelau,2022-11-09 21:24:22.807000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
_naya_,2022-11-09 21:25:17.045000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
infinitelau,2022-11-09 21:27:02.133000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
infinitelau,2022-11-09 21:27:26.708000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
vany227,2022-11-09 21:27:39.540000+00:00,dragons-den/GoW-Raggyrock-spoiler-Den
