author,date,channel
vikingprime_,2023-02-10 16:32:02.730000+00:00,dragons-den/9-rows-9-columns-9-boxes
joseph_anderson_,2023-02-10 17:40:21.498000+00:00,Important/stream-announcements
nauseoussnake,2023-02-10 16:54:31.672000+00:00,MAIN/cringe-cafe
falzar25,2023-02-10 17:21:52.804000+00:00,MAIN/cringe-cafe
dice_24k,2023-02-10 17:35:59.534000+00:00,MAIN/cringe-cafe
wakyx,2023-02-10 17:42:41.851000+00:00,MAIN/cringe-cafe
lionshard,2023-02-10 17:46:34.448000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2023-02-10 17:55:28.883000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2023-02-10 17:55:37.168000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-10 17:59:23.063000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-10 17:59:35.210000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:00:12.695000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-10 18:01:38.889000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:04:34.556000+00:00,MAIN/cringe-cafe
freesimples,2023-02-10 18:05:43.530000+00:00,MAIN/cringe-cafe
visualwastaken,2023-02-10 18:10:08.764000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:20:14.477000+00:00,MAIN/cringe-cafe
josec._,2023-02-10 18:23:38.255000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:24:04.239000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:24:40.811000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:25:12.979000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:25:29.554000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:25:35.457000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:26:41.203000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:30:07.361000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:30:09.711000+00:00,MAIN/cringe-cafe
s1eth,2023-02-10 18:30:24.338000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:30:37.479000+00:00,MAIN/cringe-cafe
beanibee,2023-02-10 18:32:25.774000+00:00,MAIN/cringe-cafe
josec._,2023-02-10 18:35:09.672000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:35:13.444000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:35:15.514000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:35:18.227000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:35:35.401000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:36:05.632000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:37:19.377000+00:00,MAIN/cringe-cafe
mediaserf,2023-02-10 18:39:35.859000+00:00,MAIN/cringe-cafe
paddele,2023-02-10 18:47:05.249000+00:00,MAIN/cringe-cafe
paddele,2023-02-10 18:47:12.062000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 18:47:40.897000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:47:54.430000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:47:56.275000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:48:01.300000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:48:03.199000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:48:28.659000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:48:33.548000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:48:45.183000+00:00,MAIN/cringe-cafe
paddele,2023-02-10 18:48:47.565000+00:00,MAIN/cringe-cafe
piecia,2023-02-10 18:48:48.905000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:49:06.456000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:49:29.390000+00:00,MAIN/cringe-cafe
paddele,2023-02-10 18:49:37.153000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:49:56.568000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-10 18:50:03.548000+00:00,MAIN/cringe-cafe
kusoro,2023-02-10 19:09:54.778000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 19:11:48.786000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-10 19:11:52.185000+00:00,MAIN/cringe-cafe
wakyx,2023-02-10 19:52:18.997000+00:00,MAIN/cringe-cafe
wakyx,2023-02-10 19:52:31.784000+00:00,MAIN/cringe-cafe
hibiderry,2023-02-10 21:35:29.306000+00:00,MAIN/cringe-cafe
kingofdunces,2023-02-10 21:53:09.857000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-10 22:42:13.944000+00:00,MAIN/cringe-cafe
110373531,2023-02-10 23:32:54.293000+00:00,MAIN/cringe-cafe
lionshard,2023-02-10 23:42:42.107000+00:00,MAIN/cringe-cafe
theguy3869,2023-02-11 00:06:48.818000+00:00,MAIN/cringe-cafe
dice_24k,2023-02-11 00:29:38.845000+00:00,MAIN/cringe-cafe
piecia,2023-02-11 00:52:56.230000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-11 01:31:30.497000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-11 01:32:22.181000+00:00,MAIN/cringe-cafe
billythepony,2023-02-11 01:49:46.626000+00:00,MAIN/cringe-cafe
billythepony,2023-02-11 01:57:39.685000+00:00,MAIN/cringe-cafe
billythepony,2023-02-11 01:57:47.769000+00:00,MAIN/cringe-cafe
tankman,2023-02-11 01:58:02.902000+00:00,MAIN/cringe-cafe
paddele,2023-02-11 02:12:02.750000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-11 02:28:25.130000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-11 02:29:42.560000+00:00,MAIN/cringe-cafe
falzar25,2023-02-11 02:35:24.557000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-11 02:37:54.421000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-11 02:38:12.245000+00:00,MAIN/cringe-cafe
falzar25,2023-02-11 02:38:59.382000+00:00,MAIN/cringe-cafe
falzar25,2023-02-11 02:39:02.339000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-11 02:40:08.313000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-11 02:40:21.409000+00:00,MAIN/cringe-cafe
falzar25,2023-02-11 02:41:11.513000+00:00,MAIN/cringe-cafe
.civd,2023-02-11 02:43:03.864000+00:00,MAIN/cringe-cafe
.civd,2023-02-11 02:43:17.037000+00:00,MAIN/cringe-cafe
star_called_the_sun,2023-02-11 02:55:47.713000+00:00,MAIN/cringe-cafe
morow1ec,2023-02-11 02:59:56.666000+00:00,MAIN/cringe-cafe
ohnoitspanda,2023-02-10 16:00:05.757000+00:00,MAIN/dragons-den
Deleted User,2023-02-10 16:00:09.859000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:00:13.312000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:00:14.653000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:00:17.295000+00:00,MAIN/dragons-den
lowlifexy,2023-02-10 16:00:20.101000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:00:28.258000+00:00,MAIN/dragons-den
lowlifexy,2023-02-10 16:00:35.045000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:00:44.418000+00:00,MAIN/dragons-den
lowlifexy,2023-02-10 16:00:48.060000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:00:58.061000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:01:07.153000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:01:07.692000+00:00,MAIN/dragons-den
tvjuli,2023-02-10 16:01:08.544000+00:00,MAIN/dragons-den
wranglerpig,2023-02-10 16:01:11.786000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:01:15.914000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:01:51.777000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:01:52.696000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:02:06.269000+00:00,MAIN/dragons-den
kusoro,2023-02-10 16:02:15.625000+00:00,MAIN/dragons-den
tvjuli,2023-02-10 16:02:17.703000+00:00,MAIN/dragons-den
kusoro,2023-02-10 16:02:25.466000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:02:29.596000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:02:37.461000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:02:41.360000+00:00,MAIN/dragons-den
Deleted User,2023-02-10 16:02:48.809000+00:00,MAIN/dragons-den
kusoro,2023-02-10 16:02:56.329000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:03:00.842000+00:00,MAIN/dragons-den
kusoro,2023-02-10 16:03:02.167000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:03:23.987000+00:00,MAIN/dragons-den
.theoneandonlychris,2023-02-10 16:03:24.824000+00:00,MAIN/dragons-den
sedicentefricchettone,2023-02-10 16:03:49.715000+00:00,MAIN/dragons-den
comet_otter,2023-02-10 16:04:00.217000+00:00,MAIN/dragons-den
lowlifexy,2023-02-10 16:04:07.957000+00:00,MAIN/dragons-den
tvjuli,2023-02-10 16:04:19.486000+00:00,MAIN/dragons-den
Deleted User,2023-02-10 16:04:20.975000+00:00,MAIN/dragons-den
ohnoitspanda,2023-02-10 16:04:26.115000+00:00,MAIN/dragons-den
lowlifexy,2023-02-10 16:04:26.788000+00:00,MAIN/dragons-den
tvjuli,2023-02-10 16:04:36.770000+00:00,MAIN/dragons-den
