author,date,channel
joseph_anderson_,2023-02-21 17:10:18.966000+00:00,Important/stream-announcements
tadakichi,2023-02-21 16:00:03.269000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:00:09.487000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:00:30.607000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:00:31.160000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:00:35.575000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:00:41.644000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:00:47.027000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:00:51.503000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:00:57.288000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:01:03.668000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:01:13.021000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:01:13.538000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:01:17.805000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:01:23.556000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:01:29.865000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:01:44.766000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:01:49.819000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:01:52.638000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:02:01.333000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:02:59.848000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:04:34.325000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:05:08.212000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:06:00.815000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:06:17.515000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:06:34.384000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:07:04.120000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:07:11.424000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:07:37.894000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:07:49.074000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:07:54.195000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:07:57.087000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:08:16.981000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:08:18.647000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:08:31.066000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:08:37.032000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:09:00.192000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:09:11.137000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:09:45.591000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:10:13.048000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:10:24.675000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:10:41.418000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:10:53.189000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:11:10.196000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:11:12.363000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:11:13.129000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:11:16.804000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:11:21.323000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:11:34.330000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:11:36.846000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:11:52.351000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:11:55.888000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:12:42.686000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:12:55.097000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:13:02.231000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-21 16:13:16.707000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:13:22.283000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-21 16:13:30.081000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:13:31.221000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:13:46.564000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:13:47.659000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:14:49.405000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:14:52.997000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:14:54.957000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-21 16:15:40.215000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:16:35.513000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:16:51.240000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:16:51.637000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:16:58.494000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:16:59.695000+00:00,MAIN/cringe-cafe
baredboke,2023-02-21 16:17:00.033000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-21 16:17:07.854000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:17:19.395000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:17:28.185000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:17:30.030000+00:00,MAIN/cringe-cafe
piecia,2023-02-21 16:17:35.021000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-21 16:17:38.389000+00:00,MAIN/cringe-cafe
daemyx,2023-02-21 16:17:39.116000+00:00,MAIN/cringe-cafe
