author,date,channel
joseph_anderson_,2022-06-02 16:20:21.796000+00:00,Important/stream-announcements
beanibee,2022-06-02 16:59:31.923000+00:00,MAIN/cringe-cafe
beanibee,2022-06-02 16:59:44.120000+00:00,MAIN/cringe-cafe
nexter420,2022-06-02 17:00:36.210000+00:00,MAIN/cringe-cafe
slintofficial,2022-06-02 17:13:54.714000+00:00,MAIN/cringe-cafe
slintofficial,2022-06-02 17:14:15.564000+00:00,MAIN/cringe-cafe
slintofficial,2022-06-02 17:14:57.502000+00:00,MAIN/cringe-cafe
super_ice,2022-06-02 17:48:05.371000+00:00,MAIN/cringe-cafe
truth12885,2022-06-02 18:04:18.382000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 18:06:10.846000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 18:06:19.701000+00:00,MAIN/cringe-cafe
truth12885,2022-06-02 18:06:25.310000+00:00,MAIN/cringe-cafe
truth12885,2022-06-02 18:06:26.922000+00:00,MAIN/cringe-cafe
crater,2022-06-02 19:11:21.752000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 19:43:25.602000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 19:48:19.443000+00:00,MAIN/cringe-cafe
crater,2022-06-02 19:56:40.152000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 19:59:47.705000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-06-02 20:01:53.409000+00:00,MAIN/cringe-cafe
zargy,2022-06-02 20:02:10.486000+00:00,MAIN/cringe-cafe
paddele,2022-06-02 20:02:19.131000+00:00,MAIN/cringe-cafe
crater,2022-06-02 20:02:51.159000+00:00,MAIN/cringe-cafe
snek_pliskin,2022-06-02 20:21:01.598000+00:00,MAIN/cringe-cafe
Deleted User,2022-06-02 20:24:24.782000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 20:25:02.904000+00:00,MAIN/cringe-cafe
Deleted User,2022-06-02 20:26:20.866000+00:00,MAIN/cringe-cafe
capsador,2022-06-02 20:36:47.780000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 20:37:22.055000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 20:52:13.659000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:09:41.281000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:09:50.112000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 21:11:14.483000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:11:36.555000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 21:11:59.599000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:12:45.901000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:12:51.011000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:12:59.390000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:13:14.337000+00:00,MAIN/cringe-cafe
crater,2022-06-02 21:22:00.508000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 21:23:21.482000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 21:23:22.395000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 21:23:34.436000+00:00,MAIN/cringe-cafe
kerkenes,2022-06-02 21:23:38.921000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 21:26:03.348000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 21:26:12.812000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 21:26:51.204000+00:00,MAIN/cringe-cafe
lionshard,2022-06-02 21:27:04.803000+00:00,MAIN/cringe-cafe
falzar25,2022-06-02 21:28:32.861000+00:00,MAIN/cringe-cafe
super_ice,2022-06-02 21:30:32.804000+00:00,MAIN/cringe-cafe
crater,2022-06-02 21:31:14.395000+00:00,MAIN/cringe-cafe
snek_pliskin,2022-06-02 21:37:41.502000+00:00,MAIN/cringe-cafe
truth12885,2022-06-02 21:37:57.119000+00:00,MAIN/cringe-cafe
