author,date,channel
joseph_anderson_,2023-02-02 17:48:02.006000+00:00,Important/stream-announcements
wakyx,2023-02-02 16:11:47.620000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:14:09.988000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:23:17.517000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:24:35.312000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:25:00.679000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:25:17.638000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:26:00.366000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:26:03.789000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:27:01.394000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:27:28.573000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:28:04.217000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:28:24.058000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:28:31.203000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:29:09.396000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:29:16.942000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:30:24.843000+00:00,MAIN/cringe-cafe
sslar,2023-02-02 16:31:52.606000+00:00,MAIN/cringe-cafe
sslar,2023-02-02 16:32:02.392000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:32:06.556000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:34:13.400000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 16:35:42.920000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:40:31.306000+00:00,MAIN/cringe-cafe
ragnostrangeros,2023-02-02 16:40:51.819000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:05:17.155000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:05:37.500000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:05:44.465000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:05:50.536000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:06:07.700000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:06:10.042000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:06:33.848000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:06:39.721000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:06:43.016000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:07:23.225000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:07:38.454000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:07:51.161000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:07:52.315000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:08:08.095000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:08:10.362000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:08:15.472000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:08:22.956000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:08:36.944000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:08:42.864000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:08:43.716000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:08:48.642000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:08:57.269000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:09:03.448000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:09:07.963000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:09:15.218000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:09:17.732000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-02 17:09:33.829000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:09:39.115000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:09:44.438000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:09:47.402000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:09:49.418000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:09:57.952000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:10:06.914000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:10:13.030000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:10:16.740000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:10:26.429000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:10:35.058000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:10:43.376000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:11:01.784000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:11:18.399000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:11:32.799000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:11:38.968000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:11:53.393000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:11:57.514000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:12:02.352000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:12:07.978000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-02 17:12:30.029000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:12:32.607000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:12:34.197000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:12:41.610000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:12:47.332000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:13:07.019000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:13:08.211000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:13:22.862000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:13:26.513000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:13:45.528000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:13:48.086000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:13:54.115000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:13:57.326000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:13:57.341000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:14:03.002000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:14:11.703000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:14:13.012000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:14:16.736000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:14:21.700000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:14:27.313000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:14:29.900000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:14:30.296000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:14:43.358000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:14:50.241000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:14:58.482000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:15:04.205000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:15:22.500000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:15:28.889000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:15:45.747000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:15:47.326000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:15:59.765000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:16:02.887000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:16:08.570000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:16:08.699000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:16:11.293000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:16:20.726000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:16:30.723000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:16:36.773000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:16:44.359000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:16:49.829000+00:00,MAIN/cringe-cafe
maddisonbaek,2023-02-02 17:16:55.395000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:17:01.590000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:17:08.113000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:17:12.683000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:17:18.170000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:17:24.642000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:17:36.362000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:17:46.209000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:17:49.294000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:18:18.531000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:18:34.070000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:18:44.558000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:18:55.033000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:19:59.892000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:23:49.530000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:23:58.945000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:26:04.088000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 17:27:41.336000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:27:43.163000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:28:05.650000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:28:23.872000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:28:58.455000+00:00,MAIN/cringe-cafe
meta_magician,2023-02-02 17:31:07.030000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:31:52.230000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:32:07.051000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:32:56.824000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:33:40.806000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:34:02.676000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:34:09.995000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:34:15.181000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:34:21.743000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:34:26.991000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:34:29.083000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:34:33.561000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:34:37.893000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:34:41.620000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:34:52.378000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:35:02.786000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:35:06.747000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:35:16.449000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:35:20.691000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:35:32.175000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:35:37.784000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:35:42.479000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:35:42.933000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:35:54.502000+00:00,MAIN/cringe-cafe
quinners,2023-02-02 17:35:58.077000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:36:16.068000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:36:18.508000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:36:22.880000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:36:49.967000+00:00,MAIN/cringe-cafe
guppy7,2023-02-02 17:36:55.458000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:37:14.217000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:37:16.168000+00:00,MAIN/cringe-cafe
zhwounomys,2023-02-02 17:37:27.231000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:37:35.217000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:37:37.204000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:37:38.662000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:37:55.834000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:38:19.275000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-02 17:44:45.044000+00:00,MAIN/cringe-cafe
thesausagefattener,2023-02-02 17:44:55.108000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 17:52:07.260000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 17:59:49.914000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:00:28.255000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:01:20.151000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-02 18:08:07.088000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:08:33.816000+00:00,MAIN/cringe-cafe
truth12885,2023-02-02 18:08:35.069000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:09:26.621000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:09:38.788000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-02 18:09:53.239000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-02 18:09:55.332000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:10:21.651000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:10:55.540000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:11:19.709000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:12:04.682000+00:00,MAIN/cringe-cafe
truth12885,2023-02-02 18:12:25.595000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:12:39.111000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:12:42.340000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:12:45.853000+00:00,MAIN/cringe-cafe
truth12885,2023-02-02 18:12:48.135000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:12:51.822000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-02 18:12:56.260000+00:00,MAIN/cringe-cafe
truth12885,2023-02-02 18:13:13.512000+00:00,MAIN/cringe-cafe
nauseoussnake,2023-02-02 18:13:14.426000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:13:25.605000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:14:12.812000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:14:37.560000+00:00,MAIN/cringe-cafe
ultra_lg,2023-02-02 18:15:23.825000+00:00,MAIN/cringe-cafe
chlowah,2023-02-02 18:16:14.588000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:16:17.305000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:16:21.257000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:19:02.880000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:19:38.159000+00:00,MAIN/cringe-cafe
muchmoonies,2023-02-02 18:19:43.185000+00:00,MAIN/cringe-cafe
snek_pliskin,2023-02-02 18:20:43.462000+00:00,MAIN/cringe-cafe
quentonn,2023-02-02 18:35:25.316000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 18:59:08.189000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 18:59:16.800000+00:00,MAIN/cringe-cafe
quentonn,2023-02-02 18:59:31.495000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 18:59:53.804000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 18:59:57.239000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 18:59:57.877000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:00:36.529000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:00:53.404000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:00:59.071000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:01:01.039000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:01:09.721000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:01:19.825000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:01:25.341000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:01:28.954000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:01:30.472000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:01:32.754000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:01:52.053000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:02:14.081000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:02:21.175000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:02:24.745000+00:00,MAIN/cringe-cafe
lionshard,2023-02-02 19:02:36.013000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:02:42.157000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:02:46.150000+00:00,MAIN/cringe-cafe
quentonn,2023-02-02 19:02:51.245000+00:00,MAIN/cringe-cafe
lionshard,2023-02-02 19:04:05.909000+00:00,MAIN/cringe-cafe
beanibee,2023-02-02 19:04:47.498000+00:00,MAIN/cringe-cafe
lionshard,2023-02-02 19:04:55.925000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:05:35.846000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:05:43.117000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:06:43.268000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 19:08:53.991000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:09:00.412000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:09:03.907000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:09:06.048000+00:00,MAIN/cringe-cafe
finfreezer,2023-02-02 19:10:32.623000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:10:50.642000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:11:26.985000+00:00,MAIN/cringe-cafe
tadakichi,2023-02-02 19:11:29.846000+00:00,MAIN/cringe-cafe
paddele,2023-02-02 19:54:35.168000+00:00,MAIN/cringe-cafe
paddele,2023-02-02 19:54:36.647000+00:00,MAIN/cringe-cafe
.civd,2023-02-02 19:57:55.265000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 20:14:56.224000+00:00,MAIN/cringe-cafe
capt.jk,2023-02-02 20:32:15.161000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 20:33:27.905000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 20:33:51.698000+00:00,MAIN/cringe-cafe
piecia,2023-02-02 20:34:03.866000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:41:14.627000+00:00,MAIN/cringe-cafe
sysid_ace,2023-02-02 20:41:15.663000+00:00,MAIN/cringe-cafe
lionshard,2023-02-02 20:42:05.814000+00:00,MAIN/cringe-cafe
lionshard,2023-02-02 20:42:15.599000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:42:31.536000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:43:08.758000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:43:43.056000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:44:22.389000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:45:01.723000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:45:13.857000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:45:21.325000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:45:28.208000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:45:55.069000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:46:09.389000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:46:35.374000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:46:42.426000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:47:00.378000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:47:10.708000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:47:20.283000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:47:51.558000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:48:16.775000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:49:01.542000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:49:27.485000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:49:28.322000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:49:34.513000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:49:41.574000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:50:18.886000+00:00,MAIN/cringe-cafe
wakyx,2023-02-02 20:50:26.575000+00:00,MAIN/cringe-cafe
haen24,2023-02-02 20:50:33.885000+00:00,MAIN/cringe-cafe
