author,date,channel
joseph_anderson_,2022-04-26 16:50:43.045000+00:00,Important/stream-announcements
quinners,2022-04-26 15:02:54.499000+00:00,MAIN/cringe-cafe
wuggynaut,2022-04-26 15:12:47.305000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 15:19:42.661000+00:00,MAIN/cringe-cafe
truth12885,2022-04-26 15:21:05.702000+00:00,MAIN/cringe-cafe
truth12885,2022-04-26 15:21:20.415000+00:00,MAIN/cringe-cafe
truth12885,2022-04-26 15:21:21.099000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 15:21:47.465000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 15:21:48.887000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 15:22:18.179000+00:00,MAIN/cringe-cafe
nexter420,2022-04-26 15:39:42.321000+00:00,MAIN/cringe-cafe
nexter420,2022-04-26 15:40:09.839000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 16:51:56.443000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 16:51:59.691000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:32:21.070000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:32:22.943000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:32:42.736000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:34:14.614000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:34:42.727000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:34:59.703000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:35:05.392000+00:00,MAIN/cringe-cafe
callmeraye,2022-04-26 17:35:07.476000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:35:27.146000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:35:33.141000+00:00,MAIN/cringe-cafe
quinners,2022-04-26 17:35:50.647000+00:00,MAIN/cringe-cafe
quinners,2022-04-26 17:36:05.626000+00:00,MAIN/cringe-cafe
quinners,2022-04-26 17:36:13.860000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:36:19.684000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:36:43.874000+00:00,MAIN/cringe-cafe
quentonn,2022-04-26 17:36:50.426000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:37:03.146000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:37:14.282000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:37:19.516000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:37:21.036000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:37:22.762000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:37:24.849000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:37:39.217000+00:00,MAIN/cringe-cafe
quinners,2022-04-26 17:37:40.309000+00:00,MAIN/cringe-cafe
quinners,2022-04-26 17:37:50.613000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:37:56.797000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:38:18.653000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:38:24.031000+00:00,MAIN/cringe-cafe
lionshard,2022-04-26 17:38:26.699000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:40:01.364000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:40:05.725000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:40:11.999000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:40:24.438000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:40:34.390000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:40:40.093000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:40:50.917000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:42:08.929000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:42:23.471000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:42:33.912000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:43:24.898000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:43:31.275000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:43:48.174000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:43:57.538000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:44:04.429000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:44:11.379000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:44:27.064000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:46:42.836000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:46:52.671000+00:00,MAIN/cringe-cafe
Deleted User,2022-04-26 17:47:06.819000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:57:30.527000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:59:30.691000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 17:59:41.707000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:00:42.673000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:02:00.755000+00:00,MAIN/cringe-cafe
morow1ec,2022-04-26 18:03:28.592000+00:00,MAIN/cringe-cafe
morow1ec,2022-04-26 18:03:36.665000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:03:54.868000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:04:03.024000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:04:27.272000+00:00,MAIN/cringe-cafe
morow1ec,2022-04-26 18:05:08.125000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:08:11.533000+00:00,MAIN/cringe-cafe
morow1ec,2022-04-26 18:09:43.937000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:10:27.757000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-04-26 18:12:08.383000+00:00,MAIN/cringe-cafe
kusoro,2022-04-26 18:12:25.278000+00:00,MAIN/cringe-cafe
