author,date,channel
bad_fetus,2023-11-05 21:47:12.614000+00:00,dragons-den/9-rows-9-columns-9-boxes
bad_fetus,2023-11-05 21:47:47.709000+00:00,dragons-den/9-rows-9-columns-9-boxes
zigouigoui,2023-11-05 16:23:44.325000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-11-05 16:24:12.519000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-11-05 16:24:18.763000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:25:12.397000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:25:50.354000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:25:54.810000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:26:48.182000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 16:27:03.846000+00:00,dragons-den/evolve-idol
glissinin,2023-11-05 16:29:44.763000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-11-05 16:39:55.586000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:55:54.775000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:56:00.757000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 16:56:14.009000+00:00,dragons-den/evolve-idol
geno_0,2023-11-05 17:19:06.472000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 17:19:25.875000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-11-05 17:22:53.905000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 17:23:17.555000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:28:19.006000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:28:26.109000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 17:28:28.305000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:28:55.879000+00:00,dragons-den/evolve-idol
mezzeric,2023-11-05 17:29:51.681000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:31:00.322000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:31:31.981000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:31:54.929000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:31:57.606000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:32:02.477000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:32:12.352000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:32:57.394000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:34:09.060000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:34:56.502000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:35:13.090000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:35:22.319000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:35:38.960000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:37:11.833000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:37:36.754000+00:00,dragons-den/evolve-idol
the_first_lilly,2023-11-05 17:37:42.277000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:38:29.609000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:38:36.007000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:38:39.135000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:40:20.607000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:40:48.669000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:40:55.374000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:41:49.232000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:42:25.597000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:44:01.607000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:44:18.316000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:44:31.859000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:44:40.209000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:44:48.829000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:44:55.634000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:45:01.472000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:45:03.399000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:45:14.620000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:45:25.370000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:45:45.421000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:45:53.682000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:46:58.865000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:47:22.982000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:47:27.641000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:47:30.490000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:48:53.027000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:49:12.606000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:50:18.922000+00:00,dragons-den/evolve-idol
zigouigoui,2023-11-05 17:50:34.178000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:50:36.941000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:56:19.717000+00:00,dragons-den/evolve-idol
_respect_,2023-11-05 17:56:33.576000+00:00,dragons-den/evolve-idol
