author,date,channel
joseph_anderson_,2022-12-08 21:01:07.236000+00:00,Important/stream-announcements
joseph_anderson_,2022-12-09 00:03:22.781000+00:00,Important/stream-announcements
ultra_lg,2022-12-08 20:00:36.480000+00:00,MAIN/cringe-cafe
wakyx,2022-12-08 20:04:16.712000+00:00,MAIN/cringe-cafe
wakyx,2022-12-08 20:04:18.146000+00:00,MAIN/cringe-cafe
jeremiah2263,2022-12-08 20:08:44.452000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:09:57.865000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:09:59.211000+00:00,MAIN/cringe-cafe
jeremiah2263,2022-12-08 20:10:06.026000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:10:06.792000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:10:19.987000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 20:10:44.160000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 20:11:21.940000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 20:16:56.452000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:18:52.356000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:21:21.759000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:21:40.160000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:22:02.035000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:24:45.970000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:25:13.518000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 20:26:56.851000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:28:02.800000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:28:05.961000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:28:33.055000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:28:37.138000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:28:49.174000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:28:55.573000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:29:33.288000+00:00,MAIN/cringe-cafe
falzar25,2022-12-08 20:29:36.386000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:30:48.206000+00:00,MAIN/cringe-cafe
jeremiah2263,2022-12-08 20:37:08.341000+00:00,MAIN/cringe-cafe
quinners,2022-12-08 20:37:12.893000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:37:23.863000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:37:53.063000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 20:41:14.854000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 20:57:13.388000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 20:57:59.451000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 20:58:40.579000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 20:59:01.156000+00:00,MAIN/cringe-cafe
sabriel,2022-12-08 21:00:12.130000+00:00,MAIN/cringe-cafe
wakyx,2022-12-08 21:02:20.542000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 21:05:22.946000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:05:57.010000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:06:13.031000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 21:07:02.774000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:07:28.446000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:07:38.685000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 21:08:00.601000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 21:08:14.452000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:08:22.260000+00:00,MAIN/cringe-cafe
beanibee,2022-12-08 21:26:57.610000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 21:29:13.868000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 22:17:11.673000+00:00,MAIN/cringe-cafe
hypotheticalwalrus,2022-12-08 22:17:28.274000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 22:18:07.551000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 22:18:19.151000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 22:18:25.085000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 22:18:46.329000+00:00,MAIN/cringe-cafe
thesausagefattener,2022-12-08 22:19:44.449000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-08 22:22:54.478000+00:00,MAIN/cringe-cafe
waffles8179,2022-12-08 22:54:50.595000+00:00,MAIN/cringe-cafe
nanukou,2022-12-08 23:30:55.934000+00:00,MAIN/cringe-cafe
waffles8179,2022-12-09 00:06:47.576000+00:00,MAIN/cringe-cafe
ultra_lg,2022-12-09 00:11:47.352000+00:00,MAIN/cringe-cafe
quinners,2022-12-09 00:12:30.619000+00:00,MAIN/cringe-cafe
umbrene,2022-12-08 20:00:02.133000+00:00,MAIN/dragons-den
estrogwen_,2022-12-08 20:00:03.128000+00:00,MAIN/dragons-den
personalsheep,2022-12-08 20:00:03.398000+00:00,MAIN/dragons-den
Deleted User,2022-12-08 20:00:05.932000+00:00,MAIN/dragons-den
pablodukie,2022-12-08 20:00:06.746000+00:00,MAIN/dragons-den
callmeraye,2022-12-08 20:00:06.934000+00:00,MAIN/dragons-den
jelly386,2022-12-08 20:00:09.740000+00:00,MAIN/dragons-den
cause_key,2022-12-08 20:00:25.416000+00:00,MAIN/dragons-den
Deleted User,2022-12-08 20:00:25.514000+00:00,MAIN/dragons-den
cause_key,2022-12-08 20:00:31.821000+00:00,MAIN/dragons-den
notarobot4444,2022-12-08 20:00:32.048000+00:00,MAIN/dragons-den
kk5372,2022-12-08 20:00:36.727000+00:00,MAIN/dragons-den
kk5372,2022-12-08 20:00:40.626000+00:00,MAIN/dragons-den
capt.jk,2022-12-08 20:00:42.107000+00:00,MAIN/dragons-den
pablodukie,2022-12-08 20:00:46.244000+00:00,MAIN/dragons-den
jelly386,2022-12-08 20:00:46.266000+00:00,MAIN/dragons-den
joseph_anderson_,2022-12-08 20:00:49.991000+00:00,MAIN/dragons-den
jelly386,2022-12-08 20:00:52.466000+00:00,MAIN/dragons-den
anumess,2022-12-08 20:00:55.552000+00:00,MAIN/dragons-den
callmeraye,2022-12-08 20:00:58.142000+00:00,MAIN/dragons-den
anumess,2022-12-08 20:00:58.573000+00:00,MAIN/dragons-den
pablodukie,2022-12-08 20:01:01.288000+00:00,MAIN/dragons-den
