author,date,channel
amphitrite.skye,2023-10-22 17:01:11.888000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 17:05:20.315000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 17:12:16.317000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 17:13:07.637000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 17:14:38.319000+00:00,dragons-den/evolve-idol
baaaaaaaaaaaaaaaaaaaaaaaaaaaaaad,2023-10-22 17:19:50.146000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:09:29.587000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:12:23.612000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:19:51.356000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:20:11.524000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:21:00.511000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:21:06.618000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:23:09.891000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:23:30.014000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:23:34.060000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:24:12.487000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:24:31.611000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:24:42.568000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:24:47.810000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:25:00.950000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:25:12.244000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:25:17.581000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:25:24.531000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:25:28.759000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:25:32.955000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:25:38.847000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:25:39.421000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:25:56.119000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:25:58.098000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:26:08.671000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:26:20.942000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:26:56.158000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:27:25.987000+00:00,dragons-den/evolve-idol
lunaticeyes.,2023-10-22 18:35:44.337000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:37:10.004000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:37:14.370000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:38:16.409000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:38:23.447000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:38:34.785000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:38:48.134000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:06.141000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:30.207000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:32.111000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:44.549000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:52.385000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:39:55.873000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:40:08.764000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:40:34.364000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-22 18:40:53.820000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:41:23.747000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-22 18:41:30.857000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:41:31.399000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:41:35.172000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:41:45.896000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:42:03.236000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:42:10.037000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:42:28.057000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:42:35.988000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:42:41.446000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:43:13.109000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:43:16.133000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:44:03.061000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-22 18:44:12.810000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:45:15.007000+00:00,dragons-den/evolve-idol
tuxi.,2023-10-22 18:45:15.694000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:45:21.512000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:46:09.960000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:46:14.806000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:46:42.148000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:46:44.581000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:48:30.264000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:48:57.225000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:49:18.011000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:49:29.553000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:49:42.120000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:49:45.453000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:49:48.489000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:50:00.624000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:50:14.554000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:50:20.848000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:50:41.121000+00:00,dragons-den/evolve-idol
gyakusetsuteki,2023-10-22 18:51:11.214000+00:00,dragons-den/evolve-idol
amphitrite.skye,2023-10-22 18:51:17.496000+00:00,dragons-den/evolve-idol
