author,date,channel
maddisonbaek,2022-04-18 10:05:04.664000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:05:08.942000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:05:11.748000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:05:21.470000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:05:25.703000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:05:34.600000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:05:52.928000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:06:04.520000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:06:11.961000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:06:18.436000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:06:24.397000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:06:29.205000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:06:31.143000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:06:31.712000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:06:37.322000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:06:44.867000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:06:47.993000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:06:52.772000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:07:08.475000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:07:12.387000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:07:16.944000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:07:20.600000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:07:23.898000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:07:24.856000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:07:26.253000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:07:59.839000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:08:02.848000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:08:05.747000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:08:13.778000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:08:21.196000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:08:23.979000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:08:33.946000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:08:41.879000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:08:53.520000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:09:09.333000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:09:09.875000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:09:20.650000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:09:24.644000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:09:28.359000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:09:39.218000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:09:55.127000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:10:05.661000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:10:08.127000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:10:27.256000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:11:20.306000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:11:33.756000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:11:55.928000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:14:22.913000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:14:30.424000+00:00,MAIN/cringe-cafe
paddele,2022-04-18 10:14:31.240000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:14:40.011000+00:00,MAIN/cringe-cafe
paddele,2022-04-18 10:14:40.364000+00:00,MAIN/cringe-cafe
crater,2022-04-18 10:14:45.742000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:14:47.562000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:14:58.362000+00:00,MAIN/cringe-cafe
paddele,2022-04-18 10:14:58.548000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:16:05.821000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:16:55.679000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:10.070000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:17:12.025000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:18.926000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:29.147000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:17:29.207000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:17:34.142000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:17:38.228000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:41.910000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:45.039000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:17:45.308000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:49.124000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:17:50.407000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:54.487000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:17:55.641000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:17:59.046000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:18:03.915000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:18:15.707000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-04-18 10:18:20.966000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:18:36.904000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:18:42.510000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-04-18 10:18:48.917000+00:00,MAIN/cringe-cafe
uvufal,2022-04-18 10:18:58.587000+00:00,MAIN/cringe-cafe
paddele,2022-04-18 10:20:20.863000+00:00,MAIN/cringe-cafe
