author,date,channel
joseph_anderson_,2022-05-10 16:04:21.969000+00:00,Important/stream-announcements
ssslitherysssnek,2022-05-10 15:10:36.128000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:16:03.084000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:16:11.365000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:16:32.122000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:16:35.794000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:16:39.756000+00:00,MAIN/cringe-cafe
cloud_burst,2022-05-10 15:17:39.345000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-05-10 15:23:39.353000+00:00,MAIN/cringe-cafe
ssslitherysssnek,2022-05-10 15:24:06.654000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:59:48.675000+00:00,MAIN/cringe-cafe
maddisonbaek,2022-05-10 15:59:53.206000+00:00,MAIN/cringe-cafe
cloud_burst,2022-05-10 16:00:19.403000+00:00,MAIN/cringe-cafe
falzar25,2022-05-10 16:03:15.460000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 16:21:19.872000+00:00,MAIN/cringe-cafe
beanibee,2022-05-10 16:30:50.438000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 16:44:55.271000+00:00,MAIN/cringe-cafe
firebuggy,2022-05-10 16:55:00.974000+00:00,MAIN/cringe-cafe
firebuggy,2022-05-10 16:55:17.435000+00:00,MAIN/cringe-cafe
djdievjfkfjwhks,2022-05-10 16:56:28.138000+00:00,MAIN/cringe-cafe
beanibee,2022-05-10 17:03:42.734000+00:00,MAIN/cringe-cafe
beanibee,2022-05-10 17:03:45.243000+00:00,MAIN/cringe-cafe
beanibee,2022-05-10 17:03:55.831000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 17:32:22.890000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 17:32:25.212000+00:00,MAIN/cringe-cafe
sslar,2022-05-10 17:35:09.408000+00:00,MAIN/cringe-cafe
sslar,2022-05-10 17:35:14.056000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 17:35:52.165000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 17:36:36.848000+00:00,MAIN/cringe-cafe
djdievjfkfjwhks,2022-05-10 18:21:53.381000+00:00,MAIN/cringe-cafe
lionshard,2022-05-10 18:37:01.889000+00:00,MAIN/cringe-cafe
accursedvagabond,2022-05-10 19:09:00.399000+00:00,MAIN/cringe-cafe
its.gunter,2022-05-10 19:09:17.945000+00:00,MAIN/cringe-cafe
accursedvagabond,2022-05-10 19:10:14.953000+00:00,MAIN/cringe-cafe
beanibee,2022-05-10 19:25:44.181000+00:00,MAIN/cringe-cafe
