author,date,channel
engineersammy,2023-06-09 20:26:31.424000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
manofshadows,2023-06-09 20:46:56.998000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
soundshifter,2023-06-09 21:22:37.926000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
soundshifter,2023-06-09 21:25:56.734000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
collie,2023-06-09 21:52:03.609000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
collie,2023-06-09 21:52:31.921000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
gla55ma5ter,2023-06-09 22:27:49.004000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
collie,2023-06-09 22:34:44.956000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
collie,2023-06-09 22:46:13.767000+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler
orangeceecee,2023-06-09 16:11:43.870000+00:00,dragons-den/evolve-idol
nanukou,2023-06-09 16:13:52.810000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:14:57.221000+00:00,dragons-den/evolve-idol
nanukou,2023-06-09 16:16:21.117000+00:00,dragons-den/evolve-idol
qubiku,2023-06-09 16:20:01.767000+00:00,dragons-den/evolve-idol
algent,2023-06-09 16:21:52.651000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:22:31.529000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:23:01.662000+00:00,dragons-den/evolve-idol
algent,2023-06-09 16:23:10.699000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:23:25.152000+00:00,dragons-den/evolve-idol
algent,2023-06-09 16:23:30.686000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:23:38.770000+00:00,dragons-den/evolve-idol
algent,2023-06-09 16:23:43.818000+00:00,dragons-den/evolve-idol
nanukou,2023-06-09 16:32:26.327000+00:00,dragons-den/evolve-idol
orangeceecee,2023-06-09 16:42:03.977000+00:00,dragons-den/evolve-idol
bulder,2023-06-09 16:42:09.371000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:42:45.148000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:42:57.743000+00:00,dragons-den/evolve-idol
orangeceecee,2023-06-09 16:44:29.809000+00:00,dragons-den/evolve-idol
orangeceecee,2023-06-09 16:45:14.587000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:45:18.650000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:45:24.379000+00:00,dragons-den/evolve-idol
mr_kiwi_,2023-06-09 16:45:26.582000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:45:28.707000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:46:07.631000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 16:46:45.777000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 16:47:06.777000+00:00,dragons-den/evolve-idol
mr_kiwi_,2023-06-09 16:47:39.982000+00:00,dragons-den/evolve-idol
mr_kiwi_,2023-06-09 16:47:57.324000+00:00,dragons-den/evolve-idol
mr_kiwi_,2023-06-09 16:48:14.858000+00:00,dragons-den/evolve-idol
ssslitherysssnek,2023-06-09 16:48:21.001000+00:00,dragons-den/evolve-idol
mr_kiwi_,2023-06-09 16:48:49.123000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:06:14.963000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:06:53.073000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:07:28.896000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:07:44.558000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:08:40.122000+00:00,dragons-den/evolve-idol
jacobosayshi,2023-06-09 17:10:03.996000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:10:06.488000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:10:09.997000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:10:20.751000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:10:25.880000+00:00,dragons-den/evolve-idol
jacobosayshi,2023-06-09 17:10:50.624000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:11:51.344000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:12:17.618000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:12:28.341000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:12:34.773000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:12:38.634000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:12:54.951000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:13:09.215000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:13:16.908000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:13:34.913000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:13:45.013000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:13:48.518000+00:00,dragons-den/evolve-idol
oath_othelio,2023-06-09 17:14:04.223000+00:00,dragons-den/evolve-idol
thetntm,2023-06-09 17:14:10.155000+00:00,dragons-den/evolve-idol
kusoro,2023-06-09 17:14:23.471000+00:00,dragons-den/evolve-idol
