Date,Activity
2022-01-01 00:00:00+00:00,3680
2022-01-02 00:00:00+00:00,6576
2022-01-03 00:00:00+00:00,9849
2022-01-04 00:00:00+00:00,9009
2022-01-05 00:00:00+00:00,8534
2022-01-06 00:00:00+00:00,9116
2022-01-07 00:00:00+00:00,10263
2022-01-08 00:00:00+00:00,8904
2022-01-09 00:00:00+00:00,9269
2022-01-10 00:00:00+00:00,15156
2022-01-11 00:00:00+00:00,13414
2022-01-12 00:00:00+00:00,10373
2022-01-13 00:00:00+00:00,10158
2022-01-14 00:00:00+00:00,10765
2022-01-15 00:00:00+00:00,9202
2022-01-16 00:00:00+00:00,10455
2022-01-17 00:00:00+00:00,13103
2022-01-18 00:00:00+00:00,10118
2022-01-19 00:00:00+00:00,8856
2022-01-20 00:00:00+00:00,7469
2022-01-21 00:00:00+00:00,13535
2022-01-22 00:00:00+00:00,6419
2022-01-23 00:00:00+00:00,9818
2022-01-24 00:00:00+00:00,10972
2022-01-25 00:00:00+00:00,11043
2022-01-26 00:00:00+00:00,6850
2022-01-27 00:00:00+00:00,11859
2022-01-28 00:00:00+00:00,12500
2022-01-29 00:00:00+00:00,11448
2022-01-30 00:00:00+00:00,11948
2022-01-31 00:00:00+00:00,13323
2022-02-01 00:00:00+00:00,10379
2022-02-02 00:00:00+00:00,13352
2022-02-03 00:00:00+00:00,9967
2022-02-04 00:00:00+00:00,8674
2022-02-05 00:00:00+00:00,6917
2022-02-06 00:00:00+00:00,7991
2022-02-07 00:00:00+00:00,8534
2022-02-08 00:00:00+00:00,9726
2022-02-09 00:00:00+00:00,12765
2022-02-10 00:00:00+00:00,8022
2022-02-11 00:00:00+00:00,8355
2022-02-12 00:00:00+00:00,8617
2022-02-13 00:00:00+00:00,8487
2022-02-14 00:00:00+00:00,9091
2022-02-15 00:00:00+00:00,9137
2022-02-16 00:00:00+00:00,15965
2022-02-17 00:00:00+00:00,12786
2022-02-18 00:00:00+00:00,10667
2022-02-19 00:00:00+00:00,9108
2022-02-20 00:00:00+00:00,8606
2022-02-21 00:00:00+00:00,10048
2022-02-22 00:00:00+00:00,8343
2022-02-23 00:00:00+00:00,12203
2022-02-24 00:00:00+00:00,16704
2022-02-25 00:00:00+00:00,10302
2022-02-26 00:00:00+00:00,12248
2022-02-27 00:00:00+00:00,9667
2022-02-28 00:00:00+00:00,7750
2022-03-01 00:00:00+00:00,9218
2022-03-02 00:00:00+00:00,7674
2022-03-03 00:00:00+00:00,10303
2022-03-04 00:00:00+00:00,13143
2022-03-05 00:00:00+00:00,9717
2022-03-06 00:00:00+00:00,13808
2022-03-07 00:00:00+00:00,11427
2022-03-08 00:00:00+00:00,11040
2022-03-09 00:00:00+00:00,15080
2022-03-10 00:00:00+00:00,18436
2022-03-11 00:00:00+00:00,14233
2022-03-12 00:00:00+00:00,11173
2022-03-13 00:00:00+00:00,11848
2022-03-14 00:00:00+00:00,13278
2022-03-15 00:00:00+00:00,15888
2022-03-16 00:00:00+00:00,13736
2022-03-17 00:00:00+00:00,17808
2022-03-18 00:00:00+00:00,15970
2022-03-19 00:00:00+00:00,14161
2022-03-20 00:00:00+00:00,14343
2022-03-21 00:00:00+00:00,13419
2022-03-22 00:00:00+00:00,12500
2022-03-23 00:00:00+00:00,12238
2022-03-24 00:00:00+00:00,12074
2022-03-25 00:00:00+00:00,6557
2022-03-26 00:00:00+00:00,7817
2022-03-27 00:00:00+00:00,6630
2022-03-28 00:00:00+00:00,11191
2022-03-29 00:00:00+00:00,10418
2022-03-30 00:00:00+00:00,7347
2022-03-31 00:00:00+00:00,14113
2022-04-01 00:00:00+00:00,50224
2022-04-02 00:00:00+00:00,10683
2022-04-03 00:00:00+00:00,7764
2022-04-04 00:00:00+00:00,12589
2022-04-05 00:00:00+00:00,12158
2022-04-06 00:00:00+00:00,11566
2022-04-07 00:00:00+00:00,20680
2022-04-08 00:00:00+00:00,16244
