AuthorID,Author,Date,Content,Attachments,Reactions
"191150794261659648","umbrene","2023-07-18T16:27:22.8920000+00:00","hi","",""
"185666265367445505","robotmaniac","2023-07-18T16:27:28.9120000+00:00","LOL","",""
"315470441206513666","retinas","2023-07-18T16:27:30.6450000+00:00","hello","",""
"373033213183918080","kelsiervin","2023-07-18T16:27:32.1860000+00:00","amazing","",""
"226558686947049472","aniforprez","2023-07-18T16:27:32.2200000+00:00","FUCK YEAH","",""
"130129042891472896","zargy","2023-07-18T16:27:33.3030000+00:00","https://media.discordapp.net/attachments/1128723347300175953/1130557671523766413/Ghost-Trick-Lamp-Final-Version-Test_20_16-11-9-9_x_2.gif","",""
"226175422759567361","tfk365","2023-07-18T16:27:33.5100000+00:00","<:pupper:318166088863055872>","",""
"295405741450461187","manofanswers","2023-07-18T16:27:37.9920000+00:00","I do not give a fuck if i get spoiled","",""
"96626643195432960","cause_key","2023-07-18T16:27:43.6990000+00:00","dont talk in here oomfie","",""
"547730112452231173","altair3454","2023-07-18T16:27:44.2530000+00:00","why","",""
"226558686947049472","aniforprez","2023-07-18T16:27:44.6430000+00:00","I DIDN'T EVEN KNOW THIS GAME WAS A METROIDVANIA AND I'M HERE","",""
"208880605436444674","taxen_of_hearts","2023-07-18T16:27:45.3510000+00:00","We need a Rabi Ribi emote STAT","",""
"308250494634033152","aburrki","2023-07-18T16:27:54.3060000+00:00","Is there even anything to spoil in this game?","",""
"208880605436444674","taxen_of_hearts","2023-07-18T16:28:01.5090000+00:00","Your morals","",""
"308250494634033152","aburrki","2023-07-18T16:28:05.5360000+00:00","Tru","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:28:06.4560000+00:00","HUZZAH","",""
"965433267425775626","druss_malka","2023-07-18T16:28:10.4100000+00:00","<:Valle:458329445741101056>","",""
"226558686947049472","aniforprez","2023-07-18T16:28:12.3270000+00:00","I'M JUST HERE FOR THE CREAM AND THE CHAOS","",""
"191150794261659648","umbrene","2023-07-18T16:28:13.4970000+00:00","https://tenor.com/view/jinx-arcane-league-of-legends-lol-powder-gif-23914119","",""
"965433267425775626","druss_malka","2023-07-18T16:28:19.2640000+00:00","","https://cdn.discordapp.com/attachments/1130898595512586261/1130898859535634442/image.png?ex=6697f123&is=66969fa3&hm=4953e2dae3fa2b4f26bf38610a79f99437a566d73b6a1b6f8ae17c6b50946311&",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:28:21.1190000+00:00","https://tenor.com/view/rabi-ribi-gameplay-video-game-gif-15496024","",""
"185666265367445505","robotmaniac","2023-07-18T16:28:21.4540000+00:00","there is but nobody gives a shit!","",""
"547730112452231173","altair3454","2023-07-18T16:28:23.6340000+00:00","oh, to post nsfw screenshots here instead of dragons' den. ok. i get it.","",""
"185666265367445505","robotmaniac","2023-07-18T16:28:33.0750000+00:00","this is a containment zone not a spoiler zone","",""
"190188039719485440","jelly386","2023-07-18T16:28:35.6590000+00:00","HE MADE IT","",""
"330044501106229248","codfishcartographer","2023-07-18T16:29:37.0110000+00:00","gunna lol when joe quits on the title screen then closes this channel","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:29:48.3200000+00:00","He made the fucking spoiler burrow","",""
"830340137631612959","brokenalex1048","2023-07-18T16:29:49.4270000+00:00","LETS GOOOOOOOOO","",""
"830340137631612959","brokenalex1048","2023-07-18T16:29:54.2650000+00:00","RABI RIBI SWEEP","",""
"234864593007149057","sqrrk","2023-07-18T16:29:55.4110000+00:00","no fucking way","",""
"330044501106229248","codfishcartographer","2023-07-18T16:30:11.7890000+00:00","burrow bros rise up","",""
"139105971787137024","kk5372","2023-07-18T16:30:14.2010000+00:00","https://tenor.com/view/rabi-ribi-bam-hammer-bunnygirl-gif-23456955","",""
"230662897049665536","magzhik","2023-07-18T16:30:21.6770000+00:00","wait, it is a game <:Valle:458329445741101056>","",""
"278918426490306560","nagitosweatyarmpits","2023-07-18T16:30:25.0480000+00:00","WHAT","",""
"295405741450461187","manofanswers","2023-07-18T16:30:28.3390000+00:00","what in the fuck are we playing","","clueless (1)"
"295405741450461187","manofanswers","2023-07-18T16:30:33.4920000+00:00","is this a porn game","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:30:34.8170000+00:00","YEA THATS WHY I PUSHED FOR IT","",""
"185666265367445505","robotmaniac","2023-07-18T16:30:35.7700000+00:00","history","",""
"830340137631612959","brokenalex1048","2023-07-18T16:30:37.5740000+00:00","Okay chat i need to know","",""
"278918426490306560","nagitosweatyarmpits","2023-07-18T16:30:39.8580000+00:00","WHAT IS THERE TO SPOIL","",""
"226558686947049472","aniforprez","2023-07-18T16:30:45.9680000+00:00","Oh people are finding out this is a fairly hardcore metroidvania from a spoiler chat <:Valle:458329445741101056>","",""
"330044501106229248","codfishcartographer","2023-07-18T16:30:49.0170000+00:00","this is 200% going to be an amazing stream","",""
"226558686947049472","aniforprez","2023-07-18T16:30:51.8680000+00:00","Welcome to the club","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:30:53.4970000+00:00","It’s like soft core porn without the porn according to Kay","",""
"475562868058750979","paddele","2023-07-18T16:30:56.8280000+00:00","?????????????","",""
"830340137631612959","brokenalex1048","2023-07-18T16:30:57.1670000+00:00","What is your favorite boss fight and why is it the Rumi boss fight?","",""
"295405741450461187","manofanswers","2023-07-18T16:30:59.4340000+00:00","OH GOD NO","",""
"145551227936178176","nyansparkle","2023-07-18T16:31:03.8250000+00:00","ok chat what the fuck is this game","",""
"475562868058750979","paddele","2023-07-18T16:31:06.4960000+00:00","????????????????????????????????????????????","",""
"330044501106229248","codfishcartographer","2023-07-18T16:31:08.5500000+00:00","like we're bracing for cream here folks ||in more ways than one||","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:31:10.2010000+00:00","I remember liking Cicini’s fight","","weebey (1)"
"139105971787137024","kk5372","2023-07-18T16:31:13.5840000+00:00","I need to know how many people in this chat have even played Rabi Ribi, <:AYAYA:563896384613515264>  react if you have <:blobno:585575612400533505> react if you haven't","","AYAYA (9),blobno (3)"
"185666265367445505","robotmaniac","2023-07-18T16:31:13.6680000+00:00","I used to like that boss fight until boss rush","",""
"475562868058750979","paddele","2023-07-18T16:31:14.1530000+00:00","???????????????    ??????","",""
"278918426490306560","nagitosweatyarmpits","2023-07-18T16:31:15.8660000+00:00","IT'S NOT A HENTAI GAME FFS <:pout:585549187140157442>","",""
"475562868058750979","paddele","2023-07-18T16:31:24.7450000+00:00","WHO THE FUCK ARE YOU","","Valle (3)"
"190188039719485440","jelly386","2023-07-18T16:31:27.1490000+00:00","anyway have fun in here kids","",""
"190188039719485440","jelly386","2023-07-18T16:31:34.7490000+00:00","","https://cdn.discordapp.com/attachments/1130898595512586261/1130899679467556985/image.png?ex=6697f1e6&is=6696a066&hm=b33f2daef18e91a11075de70d87ec4b7faed55ce96179784a4eba119d41376cf&","Valle (3),joepium (2)"
"211599677513138176","baaaaaaaaaaaaaaaaaaaaaaaaaaaaaad","2023-07-18T16:31:36.4210000+00:00","So does anybody who played the game remember any of the story","",""
"400045547202805770","voltivemmi_9307","2023-07-18T16:31:40.2730000+00:00","Seana Salty Armpit obvs","",""
"185666265367445505","robotmaniac","2023-07-18T16:31:48.0790000+00:00","I am capable of telling you the entire story of rabi ribi","",""
"185666265367445505","robotmaniac","2023-07-18T16:31:48.7600000+00:00","but","",""
"830340137631612959","brokenalex1048","2023-07-18T16:31:49.6990000+00:00","pfp sells it better <:Valle:458329445741101056>","",""
"185666265367445505","robotmaniac","2023-07-18T16:31:51.4480000+00:00","do you actually care","",""
