AuthorID,Author,Date,Content,Attachments,Reactions
"308514131768639488","joseph_anderson_","2022-12-22T08:37:24.9850000+00:00","sudoku den let's gooooooooo","",""
"442981106778767360","samandunintellectual","2022-12-22T08:37:42.6360000+00:00","woo","",""
"153265433695223809","torchrr","2022-12-22T08:37:50.6880000+00:00","sudoku be like","",""
"153265433695223809","torchrr","2022-12-22T08:38:32.7950000+00:00","","https://cdn.discordapp.com/attachments/1055403674798653450/1055403960858583050/image.png?ex=66982bc8&is=6696da48&hm=d244a6ff0e499b2cd7391e530fe0c87d0ff1a1c9640bf00ce0e1ea5da4394803&",""
"153265433695223809","torchrr","2022-12-22T08:38:53.9860000+00:00","good joke joe +2","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:39:10.1620000+00:00","https://app.crackingthecryptic.com/sudoku/G2RbJhQ6HL good starter variant sudoku. not crazy hard but not too easy either so it's a good solve.","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:39:15.6210000+00:00","Pinned a message.","",""
"689185399733616663","andreeej","2022-12-22T08:39:52.7320000+00:00","Is there like a special reason for a sudoku den or did you just feel like it","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:40:05.2880000+00:00","I like sudoku and some people in chat are doing them too","",""
"153265433695223809","torchrr","2022-12-22T08:40:07.9150000+00:00","helps keep not 20000 million sudoku msgs in d den","",""
"689185399733616663","andreeej","2022-12-22T08:40:41.1640000+00:00","Cool","",""
"555164930005794836","wamysauce","2022-12-22T08:41:49.7980000+00:00","real","",""
"159789981324279809","kusoro","2022-12-22T08:49:44.6640000+00:00","yoooo","",""
"159789981324279809","kusoro","2022-12-22T08:50:38.9560000+00:00","ill repost this one here, highly recommend it https://www.youtube.com/watch?v=voxX1f6hGxo","",""
"159789981324279809","kusoro","2022-12-22T08:51:45.5870000+00:00","to even get the playing board you need to figure a bunch of stuff out, and after that the rules of sudoku bend in interesting ways","",""
"159789981324279809","kusoro","2022-12-22T08:52:05.5710000+00:00","while it has only one clue, the clue is very restricting","",""
"264718758587793408","gimmeoliver","2022-12-22T08:52:53.7220000+00:00","i started this, spent like an hour on it while watching the LiS stream, noticed i fucked it up and went to bed fuming","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:53:41.7630000+00:00","classic sudoku experience tbh. welcome","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:54:11.6740000+00:00","https://app.crackingthecryptic.com/sudoku/77hLMnt2bM this one was very hard. I made three mistakes and the fog not going away let me know, thankfully.","",""
"361026817676804106","violinsexual","2022-12-22T08:54:18.7420000+00:00","<:pog:581717226139287572>","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:54:32.6960000+00:00","the ||greater or equal to 34|| killer cage fucked me up the most. took me so long to get that one.","",""
"308514131768639488","joseph_anderson_","2022-12-22T08:54:54.7930000+00:00","11x11 grid? cool","",""
