AuthorID,Author,Date,Content,Attachments,Reactions
"308514131768639488","joseph_anderson_","2023-08-08T15:37:35.5230000+00:00","game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660> game jam dvd <a:JoeMix:1128751176972771368> game jam dvd <a:JoeJAM:915332665404694660>","",""
"231604055485448193","oath_othelio","2023-08-08T15:37:43.0110000+00:00","gam jam","",""
"231604055485448193","oath_othelio","2023-08-08T15:37:47.6330000+00:00","gom jom","",""
"525013880553078795","snek_pliskin","2023-08-08T15:37:50.0250000+00:00","YAY <:sakugasp:585553800736276480>","",""
"633616915654377493","12_424.","2023-08-08T15:37:56.8060000+00:00","<a:JoeJAM:915332665404694660>","",""
"191150794261659648","umbrene","2023-08-08T15:38:04.5200000+00:00","umbrene","",""
"308514131768639488","joseph_anderson_","2023-08-08T15:38:05.9340000+00:00","please don't game dev if you're drunk, or don't game dev at all","",""
"95265589106323456","vickyrira","2023-08-08T15:38:10.9680000+00:00","wow","",""
"525013880553078795","snek_pliskin","2023-08-08T15:38:19.9620000+00:00","i can't wait <:sakugasp:585553800736276480>","",""
"475562868058750979","paddele","2023-08-08T15:38:25.5200000+00:00","I’m not drunk","",""
"475562868058750979","paddele","2023-08-08T15:38:28.9360000+00:00","I’ll be there","",""
"830741346436120646","slangpunk","2023-08-08T15:38:41.9660000+00:00","Am I dumb for not knowing what this is for?","",""
"159789981324279809","kusoro","2023-08-08T15:38:43.6560000+00:00","wadahell","",""
"643579387081654292","nmbk","2023-08-08T15:38:49.6110000+00:00","Game jam dvd","",""
"159789981324279809","kusoro","2023-08-08T15:38:58.9580000+00:00","is jads doing a game jam or whats this thread for","",""
"525013880553078795","snek_pliskin","2023-08-08T15:39:08.9230000+00:00","yes","",""
"159789981324279809","kusoro","2023-08-08T15:39:10.0880000+00:00","if anyone needs music hit me up","",""
"643579387081654292","nmbk","2023-08-08T15:39:10.6860000+00:00","Yes","",""
"525013880553078795","snek_pliskin","2023-08-08T15:39:13.4180000+00:00","at some point","",""
"207198958064369665","jeremiah2263","2023-08-08T15:39:29.9050000+00:00","Ew coding den, I'm out","","🤝 (1)"
"236620582395838465","zettexe2","2023-08-08T15:39:51.3630000+00:00","hell yeah a game jam","",""
"643579387081654292","nmbk","2023-08-08T15:39:56.9400000+00:00","Videogames","",""
"525013880553078795","snek_pliskin","2023-08-08T15:40:16.6510000+00:00","next time you mention a historical fact im gonna ew you","",""
"525013880553078795","snek_pliskin","2023-08-08T15:40:19.2850000+00:00","mark my words","",""
"643579387081654292","nmbk","2023-08-08T15:40:28.0690000+00:00","Did u know that Rome is old","",""
"218810384344154113","zerstorenhv","2023-08-08T15:40:31.5200000+00:00","yes, i'm writing up something at the moment since a few things need to be changed due to a couple last minute things.","",""
"475562868058750979","paddele","2023-08-08T15:49:31.2340000+00:00","What’s rome","",""
"643579387081654292","nmbk","2023-08-08T15:50:01.4980000+00:00","Rome || deez ||","",""
"475562868058750979","paddele","2023-08-08T15:50:29.8700000+00:00","Not as good as columnme","",""
"212326334721032194","notsoneat","2023-08-08T15:52:57.9170000+00:00","game jam woooo","",""
"830340137631612959","brokenalex1048","2023-08-08T16:20:06.4950000+00:00","Jamming <:pog:581717226139287572>","",""
"218810384344154113","zerstorenhv","2023-08-08T16:37:16.0320000+00:00","Hi! Thanks to everyone who put answered the survey I put together and to everyone who has helped me put this together! And thanks to Joe for opening the thread and providing some incentives! :)

This thread is the place to discuss and share before, during, and after the game jam proper.

Feel free to **organize teams** of up to 4 in here! Discuss your skills and game design sensibilities! Make sure that you will properly be able to work together during the week of the jam - we are a global discord, after all!
(Please DM me to let me know what times your team wants to work with so we can properly communicate with you)

During the jam, feel free to post updates, ask questions, or playtest builds! For people who skimmed the timestamps, this will be a **weeklong jam**, so keep that in mind.
(Games will be submitted through an itch.io page. I will put it up as we get closer to the date of the event. Someone on your team will need an itch.io account.)

Feel free to ping me (<@218810384344154113>) here with any questions or concerns you may have about the jam! I hope this can be an edifying experience for those who feel uncertain of their abilities, and a chance to flex a bit for those who really want to sweat for some marbles™.
Ultimately, I hope it's fun for everyone who participates and for everyone in the community who will get to see some cool games!","",""
"218810384344154113","zerstorenhv","2023-08-08T16:37:30.9710000+00:00","The first ever JADS Game Jam (DVD) is over!
The theme was: ""stirring the pot""

//++++++++

Marbles™ were awarded for the following five (5) categories:

- Best Visuals
- Best Audios
- Best Use of Theme
- Community Favorite
- Best Overall (The Big Cheese)

(1 marble™ to be awarded per team for each category)","",""
"643579387081654292","nmbk","2023-08-08T16:38:57.6480000+00:00","Hi all, I do programming. Haven’t done a game jam before but am excited. Have done work in Python, JS, and c# mainly but am comfy trying new languages.","",""
