AuthorID,Author,Date,Content,Attachments,Reactions
"308514131768639488","joseph_anderson_","2023-07-08T04:36:59.8820000+00:00","kay sucks at Ironclad","","pupper (1)"
"81580955956936704","rotyler","2023-07-08T04:37:03.9440000+00:00","lol","",""
"226175422759567361","tfk365","2023-07-08T04:37:04.7360000+00:00","<:pog:581717226139287572>","",""
"284672116454981633","kaylio64","2023-07-08T04:37:06.8790000+00:00","NO","",""
"277382394355384321","maddisonbaek","2023-07-08T04:37:07.0520000+00:00","Wooooooooooooo","",""
"184825961592782848","verdox","2023-07-08T04:37:08.8030000+00:00","True","",""
"284672116454981633","kaylio64","2023-07-08T04:37:10.7590000+00:00","NO I DO NOT","",""
"217732992984940546","nurpus","2023-07-08T04:37:11.0330000+00:00","lmao","",""
"330135135611650048","kdports","2023-07-08T04:37:12.7530000+00:00","lets goo","",""
"334804810731618304","nanukou","2023-07-08T04:37:12.8580000+00:00","is this the thread for gollum lovers?","",""
"165006023826866176","caden1337","2023-07-08T04:37:13.1590000+00:00","<:AYAYA:563896384613515264>","",""
"152146109014212608","guppy7","2023-07-08T04:37:13.2490000+00:00","true","",""
"405484952684199937","jacobosayshi","2023-07-08T04:37:13.5120000+00:00","<:pog:581717226139287572>","",""
"265628805312282626","rincatt","2023-07-08T04:37:14.5280000+00:00","lol","",""
"277382394355384321","maddisonbaek","2023-07-08T04:37:17.8100000+00:00","<a:dancing:631951400288518156>","","AYAYA (1)"
"284672116454981633","kaylio64","2023-07-08T04:37:18.6560000+00:00","WOW","",""
"781337512726888489","missoranje","2023-07-08T04:37:18.8520000+00:00","LETS GOOOOO","",""
"162224210574311424",".dragon4234","2023-07-08T04:37:23.3170000+00:00","HE LOVES FORSPOKEN","",""
"275892440894930944","pusspusspuss","2023-07-08T04:37:27.0290000+00:00","<:jphFai:974341744047050812>","",""
"92376182133100544","bulder","2023-07-08T04:37:27.5780000+00:00","","https://cdn.discordapp.com/attachments/1127095969348071545/1127096086750842990/java_2021-04-13_21-02-11.png?ex=6697f347&is=6696a1c7&hm=2220d349ae6e90d911d70e474a7594c8ea6d8b40913b79b4abee1e39c3fdb654&","pog (1)"
"373290454730407936","muchmoonies","2023-07-08T04:37:27.6460000+00:00","Is this the library of ruina den","","pupper (1)"
"129021362936217600","nichilas","2023-07-08T04:37:28.5850000+00:00","love this","",""
"277382394355384321","maddisonbaek","2023-07-08T04:37:29.1890000+00:00","Play Magenta Horizon","",""
"279501150540005376","thesaltysheep","2023-07-08T04:37:31.4770000+00:00","woo","",""
"72734539834720256","silverhand","2023-07-08T04:37:36.3650000+00:00","Gollum den","",""
"323231054007631873","squirrely96","2023-07-08T04:37:37.2580000+00:00","oh no it begins","",""
"486297786086588439","_naya_","2023-07-08T04:37:39.7370000+00:00","oh god","",""
"323231054007631873","squirrely96","2023-07-08T04:37:40.0420000+00:00","why has this happened","",""
"165006023826866176","caden1337","2023-07-08T04:37:40.7310000+00:00","<:AYAYA:563896384613515264>","","AYAYA (2)"
"689543177484370162","xephorix512","2023-07-08T04:37:47.2360000+00:00","<:AYAYA:563896384613515264>","",""
"655229753426575370","willwall916","2023-07-08T04:37:49.1940000+00:00","Hey Gollum fans!","",""
"781337512726888489","missoranje","2023-07-08T04:37:54.0150000+00:00","gollum fan 🤝 gravity rush 2 fan 🤝 forspoken fan
we're all holding hands <:SaberBlush:587084335337701380>","","CHAOS (2)"
"277382394355384321","maddisonbaek","2023-07-08T04:38:06.1160000+00:00","<:Gollum:1122933940462833784> <:Smeagol:1122933943570804797>","",""
"284672116454981633","kaylio64","2023-07-08T04:38:06.4990000+00:00","Fuck u","","weeps (1),Smeagol (3),Gollum (1)"
"96626643195432960","cause_key","2023-07-08T04:39:21.4790000+00:00","oh it finally happened","",""
"96626643195432960","cause_key","2023-07-08T04:39:23.3560000+00:00","cool","",""
"284672116454981633","kaylio64","2023-07-08T04:39:42.5600000+00:00","<@190188039719485440>","",""
"323231054007631873","squirrely96","2023-07-08T04:39:46.1480000+00:00","i cant wait for this channel to be the coolest channel ever","",""
"96626643195432960","cause_key","2023-07-08T04:40:16.6340000+00:00","ironclad is cool","",""
"323231054007631873","squirrely96","2023-07-08T04:40:52.4970000+00:00","ironclad SUCKS","",""
"486297786086588439","_naya_","2023-07-08T04:43:02.7150000+00:00","I feel this channel would be the most toxic one about being very ""you are playing the game wrong and what I do is the right way""","",""
"323231054007631873","squirrely96","2023-07-08T04:43:17.1500000+00:00","what do you think happens in jenshin den","",""
"323231054007631873","squirrely96","2023-07-08T04:43:18.8490000+00:00","<:cerealexperiments:551183313725816843>","",""
"323231054007631873","squirrely96","2023-07-08T04:43:30.2570000+00:00","~~thats a joke jenshin den is actualyl surprisingly nice lmfao~~","",""
"486297786086588439","_naya_","2023-07-08T04:43:31.6420000+00:00","why do you think I don't go there much?","",""
"486297786086588439","_naya_","2023-07-08T04:43:42.7540000+00:00","just don't talk about ships","",""
"323231054007631873","squirrely96","2023-07-08T04:44:36.8540000+00:00","just dont talk about ships and youll be fine","",""
"323231054007631873","squirrely96","2023-07-08T04:44:40.6430000+00:00","anyways, i ship silent x watcher","",""
"96626643195432960","cause_key","2023-07-08T04:44:55.9970000+00:00","i highly doubt that because whenever we stream the game here that literaly never happens","",""
"96626643195432960","cause_key","2023-07-08T04:44:58.0760000+00:00","so unless we get a wave of new players who act like that i dont think that will happen","",""
"486297786086588439","_naya_","2023-07-08T04:46:09.0640000+00:00","thats because its like 4 people in a voice chat that respect each other where its way harder to people being toxic. Now, a thread open for whole jads? Probably the only thing worse would ror2","",""
"323231054007631873","squirrely96","2023-07-08T04:46:51.6220000+00:00","maybe ill have to step my toxic game up when in vc","",""
"563485012582727691","18themxxn_","2023-07-08T04:47:21.5630000+00:00","ohmy","",""
"486297786086588439","_naya_","2023-07-08T04:47:23.7070000+00:00","you are the most wholesome person when in vc, you really can't be mean while in vc","",""
"323231054007631873","squirrely96","2023-07-08T04:47:46.2080000+00:00","shut up shut UP","",""
"323231054007631873","squirrely96","2023-07-08T04:47:49.1370000+00:00","i bully people all the time","",""
"323231054007631873","squirrely96","2023-07-08T04:47:52.3740000+00:00","just ask uuuuuuh","",""
"563485012582727691","18themxxn_","2023-07-08T04:47:59.8600000+00:00","she tried to GASLIGHT me","",""
"486297786086588439","_naya_","2023-07-08T04:48:21.1980000+00:00","sami, you even said boobies to me, you would never do that just to make me happy ushaushauhsuahsuahsuahsuha","",""
"323231054007631873","squirrely96","2023-07-08T04:50:07.1510000+00:00","i would never say something so scandalous and sexual","",""
"96626643195432960","cause_key","2023-07-08T04:51:01.7930000+00:00","i mean like, yeah i guess it could happen but like

this just feels extremely pessimistic and is based on something we have no historical precedent for, plus the channel literally opened like 5 minutes ago so its just a bit weird to instantly go ""oh yeah this will easily become the most toxic channel on the server no doubt""","",""
"486297786086588439","_naya_","2023-07-08T04:51:16.5530000+00:00","https://tenor.com/view/hehe-boobies-cat-cats-boobs-boobies-gif-20652082","",""
"96626643195432960","cause_key","2023-07-08T04:51:48.6630000+00:00","especially when the only people talking rn or the ones who vouched for the channel are the same ones always playing it in vc and being nice and respectful during that","",""
"89855771218571264","marl","2023-07-08T04:52:11.7750000+00:00","do ror2 discussions get toxic...?","",""
"96626643195432960","cause_key","2023-07-08T04:52:38.5780000+00:00","but like i dunno i might end up being wrong and channel could be toxic in the future who knows","",""
"89855771218571264","marl","2023-07-08T04:52:58.6080000+00:00","just praise lord snecko and we'll all be fine<:snecko:641814851047391232>","",""
"486297786086588439","_naya_","2023-07-08T04:53:53.8500000+00:00","ok, I don't want to appear like I want or expecting to be bad, it was more of me responding to sami of her saying this would be the best channel. You are right","",""
"781337512726888489","missoranje","2023-07-08T04:54:04.9860000+00:00","last week i finally completed the ending with silent and now im trying ironblood but whoof, struggling to even get to the third area","",""
"323231054007631873","squirrely96","2023-07-08T04:54:22.6160000+00:00","really? ironclad is pretty straightforward","",""
"781337512726888489","missoranje","2023-07-08T04:54:33.4210000+00:00","it's more just a string of bad luck","",""
"781337512726888489","missoranje","2023-07-08T04:54:58.6160000+00:00","the second area has a lot of enemies that do multi-hit","",""
"89855771218571264","marl","2023-07-08T04:56:08.0070000+00:00","yeah act 2 has some nasty fights if you didn't manage to pick up good cards","",""
"96626643195432960","cause_key","2023-07-08T04:57:37.5480000+00:00","you are fine dw, i was just expressing my own thoughts on why i thought that general idea was just a bit silly, hope i didnt come off as condescending or pissed off or anything, and if i did i am truly sorry that genuinely wasnt my intention","",""
"486297786086588439","_naya_","2023-07-08T04:58:57.5160000+00:00","its fine, I was being very pessimistic too, it was my side tired of jads being very negative and people just having awful discussions","",""
"284672116454981633","kaylio64","2023-07-08T05:46:54.4320000+00:00","Nah we're pretty nice tbh","",""
"563485012582727691","18themxxn_","2023-07-08T05:58:03.7640000+00:00","just got my ass kicked in act 2 :')","",""
"193138734101692416","enomagla","2023-07-08T08:56:36.1580000+00:00","why did slay the spire get a thread all of a sudden?","",""
"323231054007631873","squirrely96","2023-07-08T09:13:01.1100000+00:00","my money's on kay bribed joe","",""
"284672116454981633","kaylio64","2023-07-08T09:20:09.2190000+00:00","it was a threat","",""
"284672116454981633","kaylio64","2023-07-08T09:20:26.5080000+00:00","got rng screwed on my watcher run. until i did, i basically hitless the whole thing","",""
"190188039719485440","jelly386","2023-07-08T09:45:38.4770000+00:00","Oh hey, it's real","",""
"190188039719485440","jelly386","2023-07-08T09:45:52.3570000+00:00","Mornin folks","",""
"284672116454981633","kaylio64","2023-07-08T09:45:59.9400000+00:00","mornin!","",""
"323231054007631873","squirrely96","2023-07-08T09:47:05.1530000+00:00","good morning jelly","",""
"190188039719485440","jelly386","2023-07-08T10:00:49.3630000+00:00","oops, fell asleep during a run","https://cdn.discordapp.com/attachments/1127095969348071545/1127177463391326228/image.png?ex=66983f11&is=6696ed91&hm=ed3c056f642c099e58fc1f18ee2f0ac8e096e9d82124da99b8ed87e7291416cd&",""
"284672116454981633","kaylio64","2023-07-08T10:01:35.1990000+00:00","","https://cdn.discordapp.com/attachments/1127095969348071545/1127177655880523888/jelly.mp4?ex=66983f3f&is=6696edbf&hm=f23c12e1e1596e1615c073cf99c3cff8a658b41cb7cd0d558709b0ed0d840031&",""
"323231054007631873","squirrely96","2023-07-08T10:08:43.3690000+00:00","<:GanqingSleep1_GM:960734519772708864>","",""
"190188039719485440","jelly386","2023-07-08T10:51:55.0800000+00:00","i lost btw","",""
"190188039719485440","jelly386","2023-07-08T10:52:11.5020000+00:00","i havent won a run in three days <:JCYamchump:943521453033275402>","",""
"284672116454981633","kaylio64","2023-07-08T11:55:38.3050000+00:00","i will teach you my child","",""
"132652716337004544","hypotheticalwalrus","2023-07-08T16:14:19.2030000+00:00","https://tenor.com/view/slay-the-spire-gif-18534504","",""
