Stream,Number,Date,Duration
"Elden Ring Q&A",1,"2022-04-12T06:43:58.659+00:00",13197000
"Hollow Knight",1,"2022-04-14T15:56:25.212+00:00",17892000
"Hollow Knight",2,"2022-04-15T15:15:58.294+00:00",17790000
"Vampire Survivors",1,"2022-04-18T11:23:13.707+00:00",19041000
"Resident Evil Village",1,"2022-04-20T16:08:09.428+00:00",14988000
"Resident Evil Village",2,"2022-04-21T16:22:15.490+00:00",15656000
"Resident Evil Village",3,"2022-04-22T16:21:52.125+00:00",15183000
"Resident Evil Village",4,"2022-04-25T16:43:25.111+00:00",15442000
"Resident Evil Village",5,"2022-04-26T16:50:43.045+00:00",15808000
"Outer Wilds DLC",1,"2022-04-27T17:31:17.970+00:00",14738000
"Outer Wilds DLC",2,"2022-04-28T17:00:48.033+00:00",14661000
"Outer Wilds DLC",3,"2022-04-29T17:00:00.437+00:00",17789000
"Wandersong",1,"2022-05-10T16:04:21.969+00:00",19212000
"Wandersong",2,"2022-05-11T16:23:25.921+00:00",19882000
"999",1,"2022-05-12T16:25:09.288+00:00",14866000
"999",2,"2022-05-13T18:37:58.457+00:00",14411000
"999",3,"2022-05-16T16:43:36.842+00:00",14396000
"999",4,"2022-05-17T16:41:51.131+00:00",15822000
"999",5,"2022-05-18T16:27:48.557+00:00",14739000
"999",6,"2022-05-19T16:18:51.537+00:00",11960000
"Hatsune Miku: Project DIVA",1,"2022-06-02T16:20:21.796+00:00",11913000
"Virtue's Last Reward",1,"2022-06-06T16:39:10.259+00:00",16116000
"Virtue's Last Reward",2,"2022-06-07T17:20:28.523+00:00",15764000
"Virtue's Last Reward",3,"2022-06-08T16:02:01.155+00:00",15687000
"Virtue's Last Reward",4,"2022-06-09T16:31:12.207+00:00",16647000
"Virtue's Last Reward",5,"2022-06-10T16:38:43.032+00:00",14141000
"Virtue's Last Reward",6,"2022-06-13T16:28:18.625+00:00",16697000
"Virtue's Last Reward",7,"2022-06-14T16:37:26.199+00:00",14653000
"Virtue's Last Reward",8,"2022-06-15T16:43:54.860+00:00",17030000
"Virtue's Last Reward",9,"2022-06-20T16:38:20.925+00:00",14737000
"Virtue's Last Reward",10,"2022-06-21T16:49:50.757+00:00",18260000
"Virtue's Last Reward",11,"2022-06-22T17:13:09.069+00:00",15906000
"Virtue's Last Reward",12,"2022-06-23T17:01:09.551+00:00",18645000
"PowerWash Simulator",1,"2022-07-31T15:48:26.906+00:00",15636000
"Neon White",1,"2022-08-01T15:53:17.399+00:00",17132000
"Neon White",2,"2022-08-02T16:47:09.901+00:00",11415000
"Zero Time Dilema",1,"2022-08-03T16:15:40.532+00:00",14643000
"Zero Time Dilema",2,"2022-08-04T17:12:33.150+00:00",14077000
"Zero Time Dilema",3,"2022-08-05T16:30:19.462+00:00",14841000
"Zero Time Dilema",4,"2022-08-09T17:02:47.745+00:00",15472000
"Zero Time Dilema",5,"2022-08-10T17:07:17.254+00:00",15852000
"Zero Time Dilema",6,"2022-08-11T16:43:21.411+00:00",14412000
"God of War Ragnarök",1,"2022-11-09T18:14:02.861+00:00",15066000
"God of War Ragnarök",2,"2022-11-10T17:56:54.475+00:00",22213000
"God of War Ragnarök",3,"2022-11-11T15:17:11.472+00:00",30294000
"God of War Ragnarök",4,"2022-11-12T15:34:40.001+00:00",27326000
"God of War Ragnarök",5,"2022-11-13T16:25:53.477+00:00",26503000
"God of War Ragnarök",6,"2022-11-14T15:03:02.280+00:00",21341000
"God of War Ragnarök",7,"2022-11-15T15:40:43.631+00:00",30845000
"God of War Ragnarök",8,"2022-11-17T16:14:47.368+00:00",28188000
"God of War Ragnarök",9,"2022-11-18T16:49:40.215+00:00",27146000
"God of War Ragnarök",10,"2022-11-19T17:09:01.554+00:00",25670000
"God of War Ragnarök",11,"2022-11-20T17:13:29.250+00:00",31148000
"Stray",1,"2022-12-08T21:01:07.236+00:00",10031000
"2022 Game Awards",1,"2022-12-09T00:03:22.781+00:00",14582000
"Life is Strange",1,"2022-12-15T18:13:55.468+00:00",16974000
"Life is Strange",2,"2022-12-16T18:33:26.023+00:00",16957000
"Life is Strange",3,"2022-12-17T18:05:19.898+00:00",18861000
"Life is Strange",4,"2022-12-18T18:46:56.759+00:00",20235000
"Life is Strange",5,"2022-12-19T18:58:06.256+00:00",17833000
"Life is Strange: Before the Storm",1,"2022-12-22T17:33:22.325+00:00",22397000
"Life is Strange: Before the Storm",2,"2022-12-23T17:32:16.166+00:00",18586000
"Life is Strange: Before the Storm",3,"2022-12-24T17:43:13.701+00:00",14985000
"Captain Spirit",1,"2022-12-27T17:22:27.447+00:00",21981000
"Life is Strange 2",1,"2022-12-28T17:03:58.647+00:00",16966000
"Life is Strange 2",2,"2022-12-29T17:32:10.725+00:00",18338000
"Life is Strange 2",3,"2022-12-31T17:42:27.123+00:00",23002000
"Life is Strange: True Colors",1,"2023-01-02T18:01:05.373+00:00",15479000
"Life is Strange: True Colors",2,"2023-01-03T17:14:00.255+00:00",23210000
"Life is Strange: True Colors",3,"2023-01-04T17:05:27.308+00:00",17097000
"AI: The Somnium Files",1,"2023-01-10T17:36:03.901+00:00",18854000
"AI: The Somnium Files",2,"2023-01-11T17:22:04.118+00:00",18612000
"AI: The Somnium Files",3,"2023-01-12T17:23:56.016+00:00",17527000
"AI: The Somnium Files",4,"2023-01-13T17:40:23.589+00:00",18452000
"AI: The Somnium Files",5,"2023-01-17T17:32:16.283+00:00",17770000
"AI: The Somnium Files",6,"2023-01-18T17:36:33.622+00:00",23042000
"AI: The Somnium Files",7,"2023-01-19T17:50:31.985+00:00",18967000
"AI: The Somnium Files",8,"2023-01-20T17:48:17.633+00:00",23076000
"Dead Space",1,"2023-01-30T17:52:26.839+00:00",19418000
"Hypnospace Outlaw",1,"2023-01-31T17:24:02.291+00:00",15122000
"Hypnospace Outlaw",2,"2023-02-01T17:21:18.416+00:00",15508000
"Hypnospace Outlaw",3,"2023-02-02T17:48:02.006+00:00",18429000
"Hypnospace Outlaw",4,"2023-02-03T17:23:05.315+00:00",18480000
"Half-Life 1",1,"2023-02-07T17:18:31.028+00:00",19416000
"Half-Life 1",2,"2023-02-08T18:03:45.648+00:00",18945000
"Half-Life 1",3,"2023-02-09T17:43:24.717+00:00",19463000
"Half-Life: Opposing Force",1,"2023-02-10T17:40:21.498+00:00",23055000
"Half-Life 2",1,"2023-02-14T17:53:05.297+00:00",19565000
"Half-Life 2",2,"2023-02-15T18:11:17.999+00:00",22535000
"Half-Life 2",3,"2023-02-16T18:15:03.756+00:00",19076000
"Half-Life 2",4,"2023-02-17T18:29:28.842+00:00",21787000
"Half-Life 2",5,"2023-02-21T17:10:18.966+00:00",20113000
"Half-Life 2",6,"2023-02-22T17:03:12.125+00:00",21669000
